model	axis	n_d_prompts	n_s_prompts	n_d_rows	n_s_rows	pca_cap	raw_acc	bal_acc	auc	null_bal_q95	null_auc_q95	separable
gemma	HN	20	20	160	160	20	1.0	1.0	1.0	0.6524999999999999	0.6871249999999999	True
gemma	HP	20	20	160	160	20	1.0	1.0	1.0	0.625	0.6616249999999998	True
qwen	HN	20	20	158	160	20	1.0	1.0	1.0	0.6245253164556962	0.6488291139240505	True
qwen	HP	20	20	157	160	20	1.0	1.0	1.0	0.5977808295517872	0.6254199506408725	True
ministral	HN	20	20	153	150	20	0.9735973597359736	0.9733333333333334	1.0	0.6459313725490194	0.6971168768503941	True
ministral	HP	20	20	155	148	20	1.0	1.0	1.0	0.6487663414359033	0.6566101067578046	True
gpt_oss_20b	HN	20	20	160	160	20	1.0	1.0	1.0	0.6499999999999999	0.654625	True
gpt_oss_20b	HP	20	20	160	160	20	0.925	0.925	0.99	0.5887499999999999	0.5843750000000001	True
granite	HN	20	20	158	145	20	1.0	1.0	0.9999999999999999	0.6182719649580614	0.6546369737644906	True
granite	HP	20	19	125	79	20	1.0	1.0	1.0	0.653585224529213	0.7003379435709611	True
