project	quadrant	count	share_of_known	n_total	n_known	n_gt	n_bol	n_unknown
Work	HP-D	12	0.2553	65	47	47	0	18
Work	HP-S	0	0.0	65	47	47	0	18
Work	LP	7	0.1489	65	47	47	0	18
Work	NP	17	0.3617	65	47	47	0	18
Work	HN-D	1	0.0213	65	47	47	0	18
Work	HN-S	2	0.0426	65	47	47	0	18
Work	LN	1	0.0213	65	47	47	0	18
Work	NB	6	0.1277	65	47	47	0	18
Work	HB	1	0.0213	65	47	47	0	18
a9lim	HP-D	3	0.1765	21	17	17	0	4
a9lim	HP-S	1	0.0588	21	17	17	0	4
a9lim	LP	6	0.3529	21	17	17	0	4
a9lim	NP	3	0.1765	21	17	17	0	4
a9lim	HN-D	0	0.0	21	17	17	0	4
a9lim	HN-S	0	0.0	21	17	17	0	4
a9lim	LN	0	0.0	21	17	17	0	4
a9lim	NB	4	0.2353	21	17	17	0	4
a9lim	HB	0	0.0	21	17	17	0	4
a9lim.github.io	HP-D	15	0.1128	172	133	133	0	39
a9lim.github.io	HP-S	2	0.015	172	133	133	0	39
a9lim.github.io	LP	15	0.1128	172	133	133	0	39
a9lim.github.io	NP	55	0.4135	172	133	133	0	39
a9lim.github.io	HN-D	2	0.015	172	133	133	0	39
a9lim.github.io	HN-S	1	0.0075	172	133	133	0	39
a9lim.github.io	LN	9	0.0677	172	133	133	0	39
a9lim.github.io	NB	28	0.2105	172	133	133	0	39
a9lim.github.io	HB	6	0.0451	172	133	133	0	39
aurora	HP-D	0	0.0	2	1	1	0	1
aurora	HP-S	0	0.0	2	1	1	0	1
aurora	LP	0	0.0	2	1	1	0	1
aurora	NP	1	1.0	2	1	1	0	1
aurora	HN-D	0	0.0	2	1	1	0	1
aurora	HN-S	0	0.0	2	1	1	0	1
aurora	LN	0	0.0	2	1	1	0	1
aurora	NB	0	0.0	2	1	1	0	1
aurora	HB	0	0.0	2	1	1	0	1
brie	HP-D	3	0.1304	37	23	23	0	14
brie	HP-S	1	0.0435	37	23	23	0	14
brie	LP	10	0.4348	37	23	23	0	14
brie	NP	6	0.2609	37	23	23	0	14
brie	HN-D	0	0.0	37	23	23	0	14
brie	HN-S	0	0.0	37	23	23	0	14
brie	LN	0	0.0	37	23	23	0	14
brie	NB	3	0.1304	37	23	23	0	14
brie	HB	0	0.0	37	23	23	0	14
claude.ai	HP-D	13	0.1111	205	117	117	0	88
claude.ai	HP-S	8	0.0684	205	117	117	0	88
claude.ai	LP	10	0.0855	205	117	117	0	88
claude.ai	NP	33	0.2821	205	117	117	0	88
claude.ai	HN-D	3	0.0256	205	117	117	0	88
claude.ai	HN-S	6	0.0513	205	117	117	0	88
claude.ai	LN	6	0.0513	205	117	117	0	88
claude.ai	NB	29	0.2479	205	117	117	0	88
claude.ai	HB	9	0.0769	205	117	117	0	88
claudedriven	HP-D	0	0.0	17	14	14	0	3
claudedriven	HP-S	1	0.0714	17	14	14	0	3
claudedriven	LP	2	0.1429	17	14	14	0	3
claudedriven	NP	6	0.4286	17	14	14	0	3
claudedriven	HN-D	0	0.0	17	14	14	0	3
claudedriven	HN-S	0	0.0	17	14	14	0	3
claudedriven	LN	0	0.0	17	14	14	0	3
claudedriven	NB	5	0.3571	17	14	14	0	3
claudedriven	HB	0	0.0	17	14	14	0	3
data	HP-D	0	0.0	28	28	28	0	0
data	HP-S	0	0.0	28	28	28	0	0
data	LP	0	0.0	28	28	28	0	0
data	NP	9	0.3214	28	28	28	0	0
data	HN-D	0	0.0	28	28	28	0	0
data	HN-S	0	0.0	28	28	28	0	0
data	LN	0	0.0	28	28	28	0	0
data	NB	17	0.6071	28	28	28	0	0
data	HB	2	0.0714	28	28	28	0	0
faithful	HP-D	8	0.2424	39	33	33	0	6
faithful	HP-S	3	0.0909	39	33	33	0	6
faithful	LP	4	0.1212	39	33	33	0	6
faithful	NP	15	0.4545	39	33	33	0	6
faithful	HN-D	0	0.0	39	33	33	0	6
faithful	HN-S	0	0.0	39	33	33	0	6
faithful	LN	0	0.0	39	33	33	0	6
faithful	NB	2	0.0606	39	33	33	0	6
faithful	HB	1	0.0303	39	33	33	0	6
geon	HP-D	8	0.6154	15	13	13	0	2
geon	HP-S	0	0.0	15	13	13	0	2
geon	LP	1	0.0769	15	13	13	0	2
