project	quadrant	count	share_of_known	n_total	n_known	n_gt	n_bol	n_unknown
Work	HP-D	12	0.1846	65	65	47	18	0
Work	HP-S	10	0.1538	65	65	47	18	0
Work	LP	8	0.1231	65	65	47	18	0
Work	NP	24	0.3692	65	65	47	18	0
Work	HN-D	1	0.0154	65	65	47	18	0
Work	HN-S	2	0.0308	65	65	47	18	0
Work	LN	1	0.0154	65	65	47	18	0
Work	NB	6	0.0923	65	65	47	18	0
Work	HB	1	0.0154	65	65	47	18	0
a9lim	HP-D	3	0.1429	21	21	17	4	0
a9lim	HP-S	3	0.1429	21	21	17	4	0
a9lim	LP	6	0.2857	21	21	17	4	0
a9lim	NP	4	0.1905	21	21	17	4	0
a9lim	HN-D	0	0.0	21	21	17	4	0
a9lim	HN-S	0	0.0	21	21	17	4	0
a9lim	LN	0	0.0	21	21	17	4	0
a9lim	NB	5	0.2381	21	21	17	4	0
a9lim	HB	0	0.0	21	21	17	4	0
a9lim.github.io	HP-D	16	0.093	172	172	133	39	0
a9lim.github.io	HP-S	18	0.1047	172	172	133	39	0
a9lim.github.io	LP	17	0.0988	172	172	133	39	0
a9lim.github.io	NP	68	0.3953	172	172	133	39	0
a9lim.github.io	HN-D	8	0.0465	172	172	133	39	0
a9lim.github.io	HN-S	1	0.0058	172	172	133	39	0
a9lim.github.io	LN	9	0.0523	172	172	133	39	0
a9lim.github.io	NB	29	0.1686	172	172	133	39	0
a9lim.github.io	HB	6	0.0349	172	172	133	39	0
aurora	HP-D	0	0.0	2	2	1	1	0
aurora	HP-S	1	0.5	2	2	1	1	0
aurora	LP	0	0.0	2	2	1	1	0
aurora	NP	1	0.5	2	2	1	1	0
aurora	HN-D	0	0.0	2	2	1	1	0
aurora	HN-S	0	0.0	2	2	1	1	0
aurora	LN	0	0.0	2	2	1	1	0
aurora	NB	0	0.0	2	2	1	1	0
aurora	HB	0	0.0	2	2	1	1	0
brie	HP-D	3	0.0811	37	37	23	14	0
brie	HP-S	7	0.1892	37	37	23	14	0
brie	LP	14	0.3784	37	37	23	14	0
brie	NP	8	0.2162	37	37	23	14	0
brie	HN-D	0	0.0	37	37	23	14	0
brie	HN-S	1	0.027	37	37	23	14	0
brie	LN	0	0.0	37	37	23	14	0
brie	NB	3	0.0811	37	37	23	14	0
brie	HB	1	0.027	37	37	23	14	0
claude.ai	HP-D	22	0.1073	205	205	117	88	0
claude.ai	HP-S	32	0.1561	205	205	117	88	0
claude.ai	LP	26	0.1268	205	205	117	88	0
claude.ai	NP	52	0.2537	205	205	117	88	0
claude.ai	HN-D	6	0.0293	205	205	117	88	0
claude.ai	HN-S	12	0.0585	205	205	117	88	0
claude.ai	LN	8	0.039	205	205	117	88	0
claude.ai	NB	32	0.1561	205	205	117	88	0
claude.ai	HB	15	0.0732	205	205	117	88	0
claudedriven	HP-D	0	0.0	17	17	14	3	0
claudedriven	HP-S	2	0.1176	17	17	14	3	0
claudedriven	LP	2	0.1176	17	17	14	3	0
claudedriven	NP	7	0.4118	17	17	14	3	0
claudedriven	HN-D	0	0.0	17	17	14	3	0
claudedriven	HN-S	0	0.0	17	17	14	3	0
claudedriven	LN	0	0.0	17	17	14	3	0
claudedriven	NB	5	0.2941	17	17	14	3	0
claudedriven	HB	1	0.0588	17	17	14	3	0
data	HP-D	0	0.0	28	28	28	0	0
data	HP-S	0	0.0	28	28	28	0	0
data	LP	0	0.0	28	28	28	0	0
data	NP	9	0.3214	28	28	28	0	0
data	HN-D	0	0.0	28	28	28	0	0
data	HN-S	0	0.0	28	28	28	0	0
data	LN	0	0.0	28	28	28	0	0
data	NB	17	0.6071	28	28	28	0	0
data	HB	2	0.0714	28	28	28	0	0
faithful	HP-D	8	0.2051	39	39	33	6	0
faithful	HP-S	7	0.1795	39	39	33	6	0
faithful	LP	5	0.1282	39	39	33	6	0
faithful	NP	16	0.4103	39	39	33	6	0
faithful	HN-D	0	0.0	39	39	33	6	0
faithful	HN-S	0	0.0	39	39	33	6	0
faithful	LN	0	0.0	39	39	33	6	0
faithful	NB	2	0.0513	39	39	33	6	0
