first_word	count	n_projects	sample_projects
(๑・̀ㅂ・́)	40	10	Work,a9lim.github.io,claude.ai
(✿◠‿◠)	29	10	Work,a9lim.github.io,aurora
(◕ω◕)	27	4	claude.ai,llmoji,llmoji-study
(ง・̀_・́)	24	8	Work,a9lim.github.io,kenoma
(◕▽◕)	20	1	llmoji-study
(￣▽￣)	19	6	Work,a9lim.github.io,claude.ai
(⌐■_■)	18	5	Work,a9lim.github.io,claude.ai
(✧ω✧)	15	5	Work,a9lim.github.io,claude.ai
(・̀ω・́)	14	7	claude.ai,kenoma,llmoji
(￣ー￣)	13	4	a9lim,a9lim.github.io,llmoji
(＾∇＾)	12	5	a9lim.github.io,claude.ai,llmoji
(=^・ω・^=)	12	5	a9lim,a9lim.github.io,brie
(￣ω￣)	9	5	Work,llmoji,llmoji-study
(⊙_⊙)	9	5	a9lim.github.io,claude.ai,llmoji
(◕‿◕✨)	9	1	llmoji-study
(´・‿・`)	8	3	a9lim.github.io,llmoji,llmoji-study
(˘・_・˘)	8	3	claude.ai,llmoji-study,rlaif
(;￣д￣)	8	2	a9lim.github.io,llmoji-study
(˶ᵔ‿ᵔ˶)	7	5	brie,claude.ai,faithful
(◜‿◝)	7	4	brie,claude.ai,hylic
(╭ರ_・́)	6	3	llmoji,llmoji-study,saklas
(ᵔᴥᵔ)	6	2	Work,rlaif
(⊙‿⊙)	6	3	Work,claude.ai,saklas
(˃‿˂)	6	4	a9lim.github.io,claude.ai,faithful
(￣~￣;)	6	3	kenoma,llmoji-study,saklas
(´ー`)	5	3	claude.ai,hylic,saklas
(ﾟ▽ﾟ)	5	4	Work,kenoma,llmoji-study
(・̀ㅂ・́)	5	3	kenoma,llmoji-study,rlaif
(´ω`	5	2	a9lim.github.io,llmoji-study
(>‿<)	5	2	claude.ai,llmoji-study
(◕ω◕✨)	5	1	llmoji-study
(งᵒ̌皿ᵒ̌)	4	2	rlaif,tasty-bot
(˶ˆᗜˆ˵)	4	3	brie,claude.ai,rlaif
＼(^	4	3	a9lim.github.io,geon,rlaif
(´∀`;)	4	4	claude.ai,llmdriven,llmoji
(╯✧∇✧)	4	2	llmoji-study,saklas
(・ω・`)	4	4	claude.ai,kenoma,llmoji
(・́⌓・̀)	4	3	brie,llmoji-study,saklas
(◠‿◠✿)	4	3	faithful,llmoji,llmoji-study
(°ヮ°)	4	3	claude.ai,kenoma,llmoji-study
(´・ω・)	4	4	a9lim,claude.ai,llmoji-study
(｡・̀‿・́｡)	4	2	claude.ai,llmoji-study
(╹ω╹)	4	3	claude.ai,geon,saklas
(˶˃‿˂˶)	4	2	llmoji-study,rlaif
(￣^￣ゞ	4	1	llmoji-study
(・̀ω・́	4	1	claude.ai
(/▽＼)	3	2	llmoji-study,shoals
(・̀‿-)	3	2	llmoji,llmoji-study
(ﾉωﾉ)	3	2	kenoma,llmoji
(｡´꒳`｡)	3	2	faithful,llmoji-study
(・﹏・)	3	2	Work,llmoji-study
(・ε・)	3	2	claudedriven,saklas
(◕ヮ◕)	3	3	Work,a9lim.github.io,rlaif
(｡╹ω╹｡)	3	2	brie,rlaif
(°□°)	3	2	shoals,tasty-bot
(҂‿_‿)	3	2	llmoji-study,verify
ʕっ・ᴥ・ʔ	3	3	Work,brie,talkie-interface
(⊙ω⊙)	3	1	llmoji-study
(ᵔ‿ᵔ)	2	1	saklas
(˘▽˘)	2	2	claude.ai,saklas
(☞ﾟヮﾟ)	2	2	Work,saklas
(ฅ́˘ฅ̀)	2	2	llmoji,saklas
(・ω<)	2	2	rlaif,saklas
(⊙ヮ⊙)	2	2	claude.ai,llmoji
(>ω<)	2	2	kenoma,llmoji-study
(─‿‿─)	2	2	claude.ai,kenoma
(ง・̀ω・́)	2	2	llmoji,llmoji-study
(´ｰ`)	2	2	llmoji,llmoji-study
(・	2	1	llmoji
(ง・̀ᗜ・́)	2	1	llmoji-study
(´°ω°`)	2	1	brie
(ﾟーﾟ)	2	1	llmoji
(˘︶˘)	2	1	llmoji
(=⌒‿‿⌒=)	2	1	saklas
(⊡-⊡)و	2	1	saklas
(≧ω≦)	2	1	rlaif
(	2	1	rlaif
(・́︵・̀)	2	1	saklas
(´д`;)	2	1	llmoji-study
(・̀ㅁ・́;)	2	1	saklas
(・∀・;)	2	1	llmoji-study
(◕▿◕✿)	2	1	saklas
(・‾‿‾・)	2	1	saklas
(‿͈ˬ‿͈)	2	1	llmoji-study
(;ω;)	2	1	a9lim.github.io
(୧・̀‿-)	2	1	tasty-bot
(◣_◢)	2	1	tasty-bot
(>‿◕)	2	1	llmoji-study
(>‿◕✨)	2	1	llmoji-study
(・̀⌄・́)	2	1	tasty-bot
(´;_;`)	2	1	llmoji-study
(˶◕‿◕˶)	2	1	tasty-bot
(・̅_・̅)	2	1	llmoji-study
(・̀‿・́;)	2	1	llmoji-study
(★‿★)	2	1	llmoji-study
(=^‿^=)	2	1	llmoji-study
(°_°)	2	1	llmoji-study
(・́‸・̀)	2	1	llmoji-study
(´˘`∗)	2	1	llmoji-study
✧*｡٩(ˊᗜˋ*)و✧*｡	2	1	llmoji-study
(・ｪ・)	2	1	llmoji-study
(°ㅂ°;)	2	1	llmoji-study
(`・∀・´)	2	1	llmoji-study
(;￣□￣)	2	1	llmoji-study
(°◇°;)	2	1	llmoji-study
