first_word	n_prompts_HP-D	n_prompts_HP-S	n_prompts_LP	n_prompts_NP	n_prompts_HN-D	n_prompts_HN-S	n_prompts_LN	n_prompts_NB	n_prompts_HB	mean_log_prob_HP-D	mean_log_prob_HP-S	mean_log_prob_LP	mean_log_prob_NP	mean_log_prob_HN-D	mean_log_prob_HN-S	mean_log_prob_LN	mean_log_prob_NB	mean_log_prob_HB	softmax_HP-D	softmax_HP-S	softmax_LP	softmax_NP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	softmax_HB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP-D	total_emit_HP-S	total_emit_LP	total_emit_NP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	total_emit_HB	argmax_matches_empirical
(	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-2.5257251443458797	-1.8971223182009371	-2.1202642028609797	-2.9957212737134884	-2.5257251443458797	-1.8971223182009371	-1.5141321871450608	-2.3025840930035453	0.050001	0.08	0.15	0.12	0.050001	0.08	0.15	0.219999	0.1	NB	0.219999	1	False	55	HP-D	16	5	11	13	0	0	2	7	1	False
((((;°д°))))	0	0	0	0	0	0	0	0	0	-2.995721273713489	-2.52572514434588	-3.9119820066376048	-2.995721273713489	-1.8971223182009371	-0.5978441825349555	-2.995721273713489	-3.9119820066376048	-3.506533564501692	0.050001	0.08	0.020001	0.050001	0.15	0.549996	0.050001	0.020001	0.030001	HN-S	0.549996	1	True	3	HN-S	0	0	0	0	0	3	0	0	0	True
(((;°д°)))	0	0	0	0	0	0	0	0	0	-2.995721273713489	-2.52572514434588	-3.9119820066376048	-2.995721273713489	-1.8971223182009371	-0.5978441825349555	-2.995721273713489	-3.9119820066376048	-3.506533564501692	0.050001	0.08	0.020001	0.050001	0.15	0.549996	0.050001	0.020001	0.030001	HN-S	0.549996	1	True	11	HN-S	0	0	0	0	0	11	0	0	0	True
(((;꒪д꒪)))	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-1.8971223182009371	-2.5257251443458797	-2.1202642028609797	-1.3862993610873908	-1.2729711043501937	-3.9119820066376043	-3.9119820066376043	-3.5065335645016917	0.050001	0.15	0.08	0.12	0.249999	0.279998	0.020001	0.020001	0.030001	HN-S	0.279998	1	True	2	HN-S	0	0	0	0	0	2	0	0	0	True
(((o(*°▽°*)o)))	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-0.4307903775915995	-2.12026420286098	-2.995721273713489	-13.815519557923775	-13.815519557923775	-13.815519557923775	-3.9119820066376048	-4.605079190947259	0.15	0.649995	0.12	0.050001	1e-06	1e-06	1e-06	0.020001	0.010001	HP-S	0.649995	1	True	3	HP-S	0	3	0	0	0	0	0	0	0	True
(((o(*ﾟ▽ﾟ	0	0	0	0	0	0	0	0	0	-0.4307903775915993	-1.3862993610873908	-2.9957212737134884	-3.9119820066376043	-13.815519557923775	-13.815519557923775	-13.815519557923775	-3.9119820066376043	-4.605079190947258	0.649995	0.249999	0.050001	0.020001	1e-06	1e-06	1e-06	0.020001	0.010001	HP-D	0.649995	1	True	5	HP-S	0	5	0	0	0	0	0	0	0	False
(((o(°▽°)o)))	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-0.4307903775915995	-2.12026420286098	-2.995721273713489	-13.815519557923775	-13.815519557923775	-13.815519557923775	-3.9119820066376048	-4.605079190947259	0.15	0.649995	0.12	0.050001	1e-06	1e-06	1e-06	0.020001	0.010001	HP-S	0.649995	1	True	2	HP-S	0	2	0	0	0	0	0	0	0	True
((⊂(`ω´∩)	0	0	0	0	0	0	0	0	0	-0.28768973907883666	-1.8971223182009371	-2.9957212737134884	-3.9119820066376043	-4.605079190947258	-4.605079190947258	-13.815519557923775	-4.605079190947258	-13.815519557923775	0.749994	0.15	0.050001	0.020001	0.010001	0.010001	1e-06	0.010001	1e-06	HP-D	0.749994	1	False	0		0	0	0	0	0	0	0	0	0	False
((✿◕‿◕))	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-1.0498282673194026	-1.0498282673194026	-2.3025840930035453	-13.815519557923775	-13.815519557923775	-13.815519557923775	-3.5065335645016917	-3.9119820066376043	0.15	0.349998	0.349998	0.1	1e-06	1e-06	1e-06	0.030001	0.020001	HP-S	0.349998	1	False	0		0	0	0	0	0	0	0	0	0	False
()	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-2.9957212737134884	-1.8971223182009371	-1.3862993610873908	-2.9957212737134884	-2.9957212737134884	-2.9957212737134884	-1.2039784709576584	-2.9957212737134884	0.050001	0.050001	0.15	0.249999	0.050001	0.050001	0.050001	0.299998	0.050001	NB	0.299998	1	False	14	HN-S	0	1	0	0	5	6	1	1	0	False
(-_-;)	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-2.5257251443458797	-2.1202642028609797	-1.3862993610873908	-1.8971223182009371	-1.7148018725113032	-2.3025840930035453	-3.218859825140196	-3.5065335645016917	0.050001	0.08	0.12	0.249999	0.15	0.179999	0.1	0.040001	0.030001	NP	0.249999	1	False	0		0	0	0	0	0	0	0	0	0	False
(-‸–)	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-2.5257251443458797	-2.1202642028609797	-1.8971223182009371	-1.3862993610873908	-1.6094419124061006	-2.3025840930035453	-3.5065335645016917	-3.9119820066376043	0.050001	0.08	0.12	0.15	0.249999	0.199999	0.1	0.030001	0.020001	HN-D	0.249999	1	False	2	HN-S	0	0	0	0	0	1	1	0	0	False
(..)	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-2.5257251443458797	-0.3285116780436118	-2.3025840930035453	-4.605079190947258	-4.605079190947258	-3.9119820066376043	-4.605079190947258	-13.815519557923775	0.050001	0.08	0.719995	0.1	0.010001	0.010001	0.020001	0.010001	1e-06	LP	0.719995	1	False	0		0	0	0	0	0	0	0	0	0	False
(._.)	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-2.5257251443458797	-1.8971223182009371	-2.1202642028609797	-2.9957212737134884	-2.5257251443458797	-1.3862993610873908	-1.7148018725113032	-3.218859825140196	0.050001	0.08	0.15	0.12	0.050001	0.08	0.249999	0.179999	0.040001	LN	0.249999	1	False	1	LN	0	0	0	0	0	0	1	0	0	True
(/≧▽≦)	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-0.4307903775915995	-2.12026420286098	-2.995721273713489	-13.815519557923775	-13.815519557923775	-13.815519557923775	-3.9119820066376048	-4.605079190947259	0.15	0.649995	0.12	0.050001	1e-06	1e-06	1e-06	0.020001	0.010001	HP-S	0.649995	1	False	1	LP	0	0	1	0	0	0	0	0	0	False
(/▽＼)	0	0	0	0	0	0	0	0	0	-2.995721273713489	-1.8971223182009371	-0.4307903775915995	-2.3025840930035457	-13.815519557923775	-13.815519557923775	-13.815519557923775	-3.506533564501692	-3.9119820066376048	0.050001	0.15	0.649995	0.1	1e-06	1e-06	1e-06	0.030001	0.020001	LP	0.649995	1	False	0		0	0	0	0	0	0	0	0	0	False
(;'ω';)	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-1.3862993610873908	-1.0498282673194026	-1.8971223182009371	-3.9119820066376043	-3.5065335645016917	-3.9119820066376043	-3.9119820066376043	-4.605079190947258	0.15	0.249999	0.349998	0.15	0.020001	0.030001	0.020001	0.020001	0.010001	LP	0.349998	1	False	1	HN-S	0	0	0	0	0	1	0	0	0	False
(;;)	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-2.5257251443458797	-0.3285116780436118	-2.1202642028609797	-4.605079190947258	-4.605079190947258	-4.605079190947258	-13.815519557923775	-13.815519557923775	0.050001	0.08	0.719995	0.12	0.010001	0.010001	0.010001	1e-06	1e-06	LP	0.719995	1	False	6	LN	0	0	0	0	0	0	6	0	0	False
(;;_;;)	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-2.5257251443458797	-2.1202642028609797	-2.3025840930035453	-1.8971223182009371	-1.0498282673194026	-2.1202642028609797	-3.9119820066376043	-4.605079190947258	0.050001	0.08	0.12	0.1	0.15	0.349998	0.12	0.020001	0.010001	HN-S	0.349998	1	False	2	HN-S	0	0	0	0	0	2	0	0	0	True
(;_;)	0	0	0	0	0	0	0	0	0	-3.9119820066376043	-3.5065335645016917	-2.5257251443458797	-2.9957212737134884	-2.3025840930035453	-1.0498282673194026	-1.1394401581527478	-3.5065335645016917	-3.9119820066376043	0.020001	0.030001	0.08	0.050001	0.1	0.349998	0.319998	0.030001	0.020001	HN-S	0.349998	1	False	4	LN	0	0	0	0	1	1	2	0	0	False
(;`ﾉωﾉ´)	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-0.4307903775915995	-2.12026420286098	-2.995721273713489	-13.815519557923775	-3.9119820066376048	-13.815519557923775	-4.605079190947259	-13.815519557923775	0.15	0.649995	0.12	0.050001	1e-06	0.020001	1e-06	0.010001	1e-06	HP-S	0.649995	1	False	1	LP	0	0	1	0	0	0	0	0	0	False
(;¬_¬)	0	0	0	0	0	0	0	0	0	-0.3285116780436118	-2.9957212737134884	-3.9119820066376043	-2.5257251443458797	-2.5257251443458797	-3.9119820066376043	-4.605079190947258	-3.9119820066376043	-13.815519557923775	0.719995	0.050001	0.020001	0.08	0.08	0.020001	0.010001	0.020001	1e-06	HP-D	0.719995	1	False	0		0	0	0	0	0	0	0	0	0	False
(;´д`)	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-2.5257251443458797	-2.1202642028609797	-1.8971223182009371	-1.3862993610873908	-1.2729711043501937	-3.218859825140196	-3.9119820066376043	-4.605079190947258	0.050001	0.08	0.12	0.15	0.249999	0.279998	0.040001	0.020001	0.010001	HN-S	0.279998	1	True	43	LN	0	0	0	0	4	8	27	0	4	False
(;´д`ｿ)	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-2.5257251443458797	-2.1202642028609797	-1.8971223182009371	-1.3862993610873908	-1.2729711043501937	-2.9957212737134884	-3.9119820066376043	-13.815519557923775	0.050001	0.08	0.12	0.15	0.249999	0.279998	0.050001	0.020001	1e-06	HN-S	0.279998	1	False	0		0	0	0	0	0	0	0	0	0	False
(;´༎ຶд༎ຶ`)	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-2.5257251443458797	-2.1202642028609797	-1.8971223182009371	-1.7148018725113032	-1.1394401581527478	-2.5257251443458797	-3.9119820066376043	-13.815519557923775	0.050001	0.08	0.12	0.15	0.179999	0.319998	0.08	0.020001	1e-06	HN-S	0.319998	1	False	12	LN	0	0	0	0	0	5	7	0	0	False
(;´∀`)	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-0.4307903775915995	-2.12026420286098	-2.995721273713489	-13.815519557923775	-13.815519557923775	-13.815519557923775	-3.9119820066376048	-4.605079190947259	0.15	0.649995	0.12	0.050001	1e-06	1e-06	1e-06	0.020001	0.010001	HP-S	0.649995	1	False	2	LN	0	0	0	0	0	0	2	0	0	False
(;´▽`A)	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-0.4307903775915995	-2.12026420286098	-2.995721273713489	-13.815519557923775	-13.815519557923775	-13.815519557923775	-3.9119820066376048	-4.605079190947259	0.15	0.649995	0.12	0.050001	1e-06	1e-06	1e-06	0.020001	0.010001	HP-S	0.649995	1	False	1	NP	0	0	0	1	0	0	0	0	0	False
(;´ヮ`)	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-0.4307903775915995	-2.12026420286098	-2.995721273713489	-13.815519557923775	-13.815519557923775	-13.815519557923775	-3.9119820066376048	-4.605079190947259	0.15	0.649995	0.12	0.050001	1e-06	1e-06	1e-06	0.020001	0.010001	HP-S	0.649995	1	True	1	LN	0	0	0	0	0	0	1	0	0	False
(;´꒳`)	0	0	0	0	0	0	0	0	0	-2.995721273713489	-1.8971223182009371	-0.4307903775915995	-2.12026420286098	-4.605079190947259	-4.605079190947259	-4.605079190947259	-13.815519557923775	-13.815519557923775	0.050001	0.15	0.649995	0.12	0.010001	0.010001	0.010001	1e-06	1e-06	LP	0.649995	1	False	1	LN	0	0	0	0	0	0	1	0	0	False
(;ω;)	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-2.5257251443458797	-1.8971223182009371	-2.1202642028609797	-2.5257251443458797	-1.0498282673194026	-2.1202642028609797	-3.5065335645016917	-3.9119820066376043	0.050001	0.08	0.15	0.12	0.08	0.349998	0.12	0.030001	0.020001	HN-S	0.349998	1	False	47	LN	0	2	0	1	0	7	37	0	0	False
