encoder	origin	n	similarity	mean_jsd	n_correct	accuracy	kappa
bol	gemma_only	11	0.3566853372825187	0.44591174467549427	2	0.18181818181818182	0.02941176470588247
bol	qwen_only	24	0.4305266671112742	0.39472883509589546	10	0.4166666666666667	0.3320079522862822
bol	ministral_only	5	0.22830197344769554	0.5349003113484037	0	0.0	-0.04166666666666652
bol	shared_2	19	0.40434660891513285	0.41287546862144614	5	0.2631578947368421	0.17901234567901236
bol	shared_3	10	0.45114650615107565	0.3804362518018572	2	0.2	0.08045977011494243
gemma	gemma_only	32	0.720544810957022	0.19370357637798663	20	0.625	0.5704697986577181
gemma	qwen_only	50	0.7013838004173651	0.20698497681022926	28	0.56	0.5009074410163339
gemma	ministral_only	25	0.392172619044693	0.42131383537630684	5	0.2	0.08925318761384338
gemma	shared_2	22	0.6359680251405193	0.2523277370075179	8	0.36363636363636365	0.26491646778042954
gemma	shared_3	12	0.7136221939830858	0.19850196881556703	9	0.75	0.7096774193548387
gpt_oss_20b	gemma_only	32	0.5352760305082367	0.32212210919184175	10	0.3125	0.189873417721519
gpt_oss_20b	qwen_only	50	0.6285124829271047	0.25749552507229195	17	0.34	0.25034075420263524
gpt_oss_20b	ministral_only	25	0.6035027700544392	0.2748309370365938	5	0.2	0.06367041198501888
gpt_oss_20b	shared_2	22	0.7335276225392291	0.18470457713403884	10	0.45454545454545453	0.3607748184019369
gpt_oss_20b	shared_3	12	0.8101284899390733	0.13160890186739063	6	0.5	0.4098360655737705
granite	gemma_only	32	0.3877878463667572	0.4243531281954143	7	0.21875	0.07940161104718069
granite	qwen_only	50	0.5426187524529111	0.31703252217825506	16	0.32	0.21550530687586522
granite	ministral_only	25	0.4639251313736482	0.3715787837573988	6	0.24	0.15026833631484793
granite	shared_2	22	0.6156013440377801	0.26644484459124507	8	0.36363636363636365	0.24694376528117357
granite	shared_3	12	0.5301218911048233	0.32569468638753063	3	0.25	0.14960629921259838
haiku	gemma_only	32	0.542344708876298	0.317222474710735	13	0.40625	0.2971098265895954
haiku	qwen_only	50	0.5262927865312423	0.3283488194267775	13	0.26	0.15215398716773598
haiku	ministral_only	25	0.4591845475908424	0.37486470604065886	3	0.12	0.024822695035461084
haiku	shared_2	22	0.6305161077539332	0.25610671817267583	7	0.3181818181818182	0.1970802919708028
haiku	shared_3	12	0.8108933889719051	0.1310787142593702	7	0.5833333333333334	0.5041322314049588
ministral	gemma_only	32	0.4691763200905148	0.36793893710371456	7	0.21875	0.11012235817575089
ministral	qwen_only	50	0.6267644808617082	0.25870714777553444	17	0.34	0.24450549450549453
ministral	ministral_only	25	0.6387351389366911	0.250409719881413	7	0.28	0.17733089579524675
ministral	shared_2	22	0.7059559407167313	0.20381581065259907	2	0.09090909090909091	-0.0451306413301662
ministral	shared_3	12	0.7665356688554018	0.16182514289419167	4	0.3333333333333333	0.23809523809523814
opus	gemma_only	9	0.7337061031395693	0.18458086380912841	4	0.4444444444444444	0.296875
opus	qwen_only	22	0.7951889271676673	0.14196421768118897	13	0.5909090909090909	0.5308056872037914
opus	ministral_only	2	0.6710888184388843	0.2279838581537276	0	0.0	0.0
opus	shared_2	14	0.7848973873324522	0.14909776950158876	8	0.5714285714285714	0.42068965517241375
opus	shared_3	9	0.856870751813464	0.09920963483616213	6	0.6666666666666666	0.5970149253731343
qwen	gemma_only	32	0.44821297949696715	0.3824696175312499	5	0.15625	0.061889250814332275
qwen	qwen_only	50	0.5964859130812337	0.27969465166396357	12	0.24	0.1578014184397164
qwen	ministral_only	25	0.5480751691908679	0.31325042230038025	5	0.2	0.1071428571428572
qwen	shared_2	22	0.6850053424491074	0.2183376587728467	9	0.4090909090909091	0.30073349633251834
qwen	shared_3	12	0.7142186122009542	0.198088563209417	1	0.08333333333333333	0.0
