first_word	ensemble_pred	ensemble_conf	n_encoders_voting	gt_modal	gt_total_emits	jsd_vs_gt	similarity	argmax_matches_gt_modal	total_emit_count	is_claude	ensemble_p_HP-D	ensemble_p_HP-S	ensemble_p_LP	ensemble_p_NP	ensemble_p_HN-D	ensemble_p_HN-S	ensemble_p_LN	ensemble_p_NB	ensemble_p_HB	gt_p_HP-D	gt_p_HP-S	gt_p_LP	gt_p_NP	gt_p_HN-D	gt_p_HN-S	gt_p_LN	gt_p_NB	gt_p_HB	gemma_pred	gemma_conf	ministral_pred	ministral_conf	opus_pred	opus_conf
(	NB	0.1573	3	HP-D	55	0.1648	0.7622	False	55	False	0.0884	0.0794	0.099	0.1003	0.1022	0.114	0.1296	0.1573	0.1298	0.2909	0.0909	0.2	0.2364	0.0	0.0	0.0364	0.1273	0.0182	HP-D	0.111	NB	0.121	NB	0.24
((((;°д°))))	HN-S	0.662	3	HN-S	3	0.1344	0.8061	True	3	True	0.0096	0.0398	0.0409	0.0169	0.0339	0.662	0.0887	0.0249	0.0835	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	HN-S	1.0	LN	0.266	HN-S	0.731
(((;°д°)))	HN-S	0.5105	3	HN-S	11	0.21	0.697	True	11	True	0.055	0.0257	0.1532	0.01	0.0626	0.5105	0.0119	0.0459	0.1253	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	HN-S	0.851	LP	0.46	HN-S	0.664
(((;꒪д꒪)))	HN-S	0.5627	3		0				2	True	0.0915	0.0276	0.1174	0.0081	0.0441	0.5627	0.0134	0.0369	0.0983										HN-S	0.91	LP	0.352	HN-S	0.748
(((o(*°▽°*)o)))	HP-S	0.6332	3	HP-S	3	0.1479	0.7867	True	3	True	0.1026	0.6332	0.0882	0.0573	0.0007	0.1038	0.0001	0.0124	0.0017	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	HP-S	0.666	HP-S	0.759	HP-S	0.475
(((o(*ﾟ▽ﾟ	HP-S	0.6992	3	HP-S	5	0.1176	0.8303	True	5	True	0.103	0.6992	0.1106	0.0487	0.0005	0.0204	0.0002	0.0152	0.0022	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	HP-S	0.903	HP-S	0.72	HP-S	0.474
(((o(°▽°)o)))	HP-S	0.5503	3		0				2	True	0.092	0.5503	0.1981	0.0692	0.0	0.0063	0.0	0.0745	0.0096										HP-S	0.828	LP	0.505	HP-S	0.482
((⊂(`ω´∩)	HN-S	0.3401	3		0				0	False	0.1309	0.0852	0.1099	0.0308	0.0967	0.3401	0.0441	0.1231	0.0392										HN-S	0.875	NB	0.347	HP-D	0.311
((✿◕‿◕))	HP-S	0.3662	3		0				0	False	0.0654	0.3662	0.19	0.1283	0.0023	0.0618	0.0055	0.1566	0.024										HP-S	0.79	NB	0.437	LP	0.419
((・▽・))	HN-S	0.3134	3		0				1	True	0.0561	0.1016	0.2167	0.0848	0.0062	0.3134	0.0163	0.1762	0.0289										HN-S	0.927	NB	0.449	LP	0.312
()	NB	0.2054	3	HN-S	14	0.2143	0.6908	False	14	False	0.0525	0.1103	0.0808	0.0724	0.0634	0.1743	0.1446	0.2054	0.0963	0.0	0.0714	0.0	0.0	0.3571	0.4286	0.0714	0.0714	0.0	HN-S	0.34	LP	0.148	NB	0.417
(-_-;)	HN-S	0.4129	3		0				0	False	0.0429	0.0115	0.0144	0.0302	0.1212	0.4129	0.1169	0.0606	0.1893										HN-S	0.777	HN-D	0.238	HB	0.318
(-‸–)	LN	0.2699	3		0				2	False	0.0372	0.0218	0.1167	0.0421	0.1715	0.0688	0.2699	0.1459	0.1262										LN	0.515	LP	0.338	HN-D	0.276
(..)	NB	0.2263	3		0				0	False	0.0385	0.0302	0.0928	0.0535	0.0317	0.1246	0.2222	0.2263	0.1802										HB	0.292	NB	0.205	NB	0.235
(._.)	LN	0.4809	3		0				1	False	0.0366	0.0104	0.0583	0.036	0.037	0.0485	0.4809	0.2023	0.09										LN	0.953	LN	0.228	NB	0.407
(/≧▽≦)	HP-D	0.3225	3		0				1	False	0.3225	0.2729	0.083	0.0981	0.0991	0.0236	0.0242	0.0236	0.0529										HP-D	0.595	HP-S	0.306	HP-S	0.487
(/▽＼)	HP-D	0.2568	3		0				0	False	0.2568	0.1693	0.1667	0.1751	0.0106	0.0647	0.0511	0.0668	0.0389										HP-D	0.613	HP-S	0.198	LP	0.324
(;'ω';)	HN-S	0.3353	3		0				1	False	0.0665	0.0375	0.0359	0.0623	0.0411	0.3353	0.3034	0.0267	0.0913										HN-S	0.293	LN	0.689	HN-S	0.605
(;;)	HN-S	0.3642	3	LN	6	0.3544	0.4887	False	6	False	0.0477	0.026	0.0762	0.048	0.0093	0.3642	0.2833	0.0914	0.0539	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	HN-S	0.926	NB	0.231	LN	0.766
(;;_;;)	LN	0.455	3		0				2	False	0.0124	0.0274	0.0225	0.021	0.0289	0.4022	0.455	0.0191	0.0115										HN-S	0.934	LN	0.414	LN	0.888
(;_;)	LN	0.7415	3	LN	4	0.0842	0.8785	True	4	False	0.0072	0.0039	0.0064	0.0097	0.0239	0.1887	0.7415	0.0114	0.0073	0.0	0.0	0.0	0.0	0.25	0.25	0.5	0.0	0.0	LN	0.761	LN	0.574	LN	0.89
(;`ﾉωﾉ´)	HN-S	0.4935	3		0				1	False	0.0282	0.0434	0.0674	0.0479	0.0677	0.4935	0.0652	0.048	0.1387										HN-S	0.939	HN-S	0.209	HN-S	0.333
(;¬_¬)	HN-D	0.2954	3		0				0	False	0.0264	0.0024	0.0064	0.0092	0.2954	0.2229	0.1116	0.0685	0.2571										HB	0.457	HN-S	0.417	HN-D	0.279
(;´д`)	LN	0.3683	3	LN	43	0.0617	0.911	True	43	True	0.0166	0.0046	0.0107	0.0158	0.1471	0.364	0.3683	0.0213	0.0517	0.0	0.0	0.0	0.0	0.093	0.186	0.6279	0.0	0.093	HN-S	0.527	LN	0.51	HN-S	0.423
(;´д`ｿ)	HN-S	0.4539	3		0				0	False	0.0151	0.0045	0.0149	0.016	0.1023	0.4539	0.2681	0.0351	0.09										HN-S	0.788	LN	0.445	HN-S	0.426
(;´༎ຶд༎ຶ`)	LN	0.5887	3	LN	12	0.0447	0.9355	True	12	False	0.0129	0.005	0.0072	0.0089	0.0448	0.2969	0.5887	0.0141	0.0216	0.0	0.0	0.0	0.0	0.0	0.4167	0.5833	0.0	0.0	LN	0.537	LN	0.55	LN	0.679
(;´∀`)	HP-D	0.2116	3		0				2	False	0.2116	0.0505	0.0655	0.0838	0.0224	0.0819	0.1447	0.2063	0.1332										HP-D	0.495	LN	0.384	HB	0.22
(;´▽`A)	HN-S	0.2564	3		0				1	False	0.124	0.0593	0.0488	0.0936	0.0224	0.2564	0.1384	0.1305	0.1266										HN-S	0.399	LN	0.357	HB	0.27
(;´ヮ`)	LN	0.2896	3		0				1	True	0.0353	0.0348	0.0492	0.0692	0.0382	0.2082	0.2896	0.104	0.1716										LN	0.35	LN	0.435	HB	0.25
(;´꒳`)	LN	0.3245	3		0				1	False	0.024	0.0123	0.0937	0.0648	0.0309	0.1731	0.3245	0.1903	0.0864										NB	0.379	LN	0.506	HN-S	0.274
(;ω;)	HN-S	0.4021	3	LN	47	0.1364	0.8032	False	47	False	0.0278	0.0037	0.0153	0.0155	0.0634	0.4021	0.3957	0.0227	0.0539	0.0	0.0426	0.0	0.0213	0.0	0.1489	0.7872	0.0	0.0	HN-S	0.765	LN	0.321	LN	0.766
(;д;)	HN-S	0.4587	3		0				1	False	0.0229	0.0084	0.0201	0.0195	0.0504	0.4587	0.3625	0.0318	0.0256										HN-S	0.949	LN	0.435	LN	0.647
(;′⌒`)	HN-S	0.3308	3	HN-S	23	0.0793	0.8856	True	23	False	0.0226	0.0084	0.0028	0.0157	0.2456	0.3308	0.2676	0.022	0.0845	0.0	0.0	0.0	0.0	0.1739	0.6087	0.2174	0.0	0.0	HN-S	0.463	LN	0.316	LN	0.374
(;⁎_⁎)	HN-S	0.4035	3		0				1	False	0.0248	0.0098	0.018	0.0206	0.1903	0.4035	0.1792	0.0487	0.1051										HN-S	0.508	HN-S	0.331	HN-S	0.372
(;⌒_⌒)	LN	0.4179	3		0				0	False	0.0137	0.0062	0.0128	0.0127	0.0923	0.2822	0.4179	0.0476	0.1146										LN	0.793	HN-S	0.484	HB	0.283
(;╹⌓╹)	HN-S	0.5783	3		0				1	True	0.0171	0.0072	0.0077	0.012	0.0609	0.5783	0.1716	0.0233	0.122										HN-S	0.906	LN	0.344	HN-S	0.5
(;へ:)	LN	0.3502	3		0				1	False	0.0385	0.0092	0.0259	0.0168	0.1485	0.2769	0.3502	0.0301	0.1039										HN-S	0.432	LN	0.293	LN	0.75
(;゚д゚)	HN-S	0.5884	3		0				1	True	0.0372	0.026	0.026	0.0272	0.0368	0.5884	0.0717	0.0566	0.1301										HN-S	0.953	LN	0.181	HN-S	0.633
(;゜□゜)	HN-S	0.413	3		0				1	True	0.0206	0.0062	0.0095	0.0089	0.0401	0.413	0.0975	0.0534	0.3508										HB	0.766	HN-S	0.341	HN-S	0.669
(;・`O・´)	HN-S	0.3324	3		0				1	False	0.033	0.0266	0.0306	0.0207	0.2513	0.3324	0.1067	0.0801	0.1185										HN-S	0.58	LN	0.263	HN-D	0.402
(;・∀・)	HB	0.3567	3		0				2	True	0.0531	0.0227	0.0374	0.0505	0.0238	0.1105	0.0891	0.2562	0.3567										HB	0.62	NB	0.216	HB	0.359
(;一_一)	HN-S	0.3457	3		0				2	False	0.0104	0.0003	0.0021	0.0041	0.2584	0.3457	0.1524	0.0525	0.1742										HN-S	0.425	HN-S	0.516	HN-D	0.355
(;﹏;)	LN	0.4719	3		0				1	False	0.0222	0.0018	0.0085	0.01	0.0433	0.408	0.4719	0.0138	0.0206										HN-S	0.822	LN	0.521	LN	0.731
(;ﾟдﾟ)	HN-S	0.6171	3		0				1	True	0.0233	0.0072	0.0057	0.0103	0.0712	0.6171	0.0971	0.0266	0.1415										HN-S	0.98	HN-S	0.31	HN-S	0.561
(;￣д￣)	HN-S	0.344	3		0				0	False	0.0162	0.003	0.0059	0.0074	0.2451	0.344	0.2623	0.0179	0.0981										HN-S	0.575	LN	0.514	HN-D	0.333
(;￣□￣)	HB	0.3759	3		0				0	False	0.0279	0.0081	0.0175	0.0134	0.132	0.2903	0.1038	0.0311	0.3759										HB	0.817	HN-S	0.333	HN-S	0.432
(=^-^=)	LN	0.2386	3	HP-D	10	0.1984	0.7137	False	10	False	0.0785	0.1153	0.2065	0.1497	0.0948	0.0243	0.2386	0.0759	0.0164	0.2	0.0	0.2	0.0	0.0	0.1	0.2	0.1	0.2	LN	0.661	LP	0.228	LP	0.391
(=^-ω-^=)	LP	0.2334	3	NB	34	0.073	0.8947	False	34	False	0.0965	0.1229	0.2334	0.133	0.1366	0.0317	0.1703	0.0414	0.0343	0.1471	0.1176	0.0882	0.0882	0.0882	0.1176	0.0882	0.1765	0.0882	LN	0.444	HP-S	0.288	LP	0.482
(=^-ω^-=)	LN	0.2662	3	HP-D	3	0.3137	0.5474	False	3	False	0.1187	0.1048	0.1703	0.1546	0.083	0.0169	0.2662	0.0645	0.021	0.3333	0.0	0.3333	0.0	0.0	0.0	0.0	0.3333	0.0	LN	0.738	NP	0.245	LP	0.339
(=^_^=)	LP	0.1827	3		0				2	False	0.1076	0.1542	0.1827	0.1604	0.0167	0.0228	0.1388	0.1273	0.0896										LN	0.362	NP	0.221	LP	0.333
(=^‿^=)	HP-D	0.3964	3		0				0	False	0.3964	0.1548	0.2195	0.1395	0.0025	0.0018	0.0155	0.0613	0.0086										HP-D	0.92	LP	0.323	LP	0.333
(=^・^=)	LP	0.2668	3		0				1	False	0.197	0.0971	0.2668	0.1284	0.0073	0.0032	0.0213	0.2442	0.0348										HP-D	0.422	LP	0.402	LP	0.395
(=^・ω・^=)	HP-D	0.2811	3	LP	27	0.0873	0.874	False	27	False	0.2811	0.1102	0.2581	0.127	0.0647	0.0089	0.0302	0.0731	0.0467	0.1481	0.0	0.4815	0.0741	0.037	0.0	0.037	0.1852	0.037	HP-D	0.656	LP	0.404	LP	0.367
(=^・ｪ・^=)	HP-D	0.294	3		0				1	False	0.294	0.0818	0.2804	0.1182	0.0262	0.0079	0.0354	0.1203	0.0358										HP-D	0.739	LP	0.448	LP	0.392
