encoder	is_pilot	k	k_effective	n_eval	similarity	mean_jsd	accuracy	kappa	max_k_in_data
gemma	False	1	1	243	0.5801033083781503	0.29105020792413394	0.3786008230452675	0.29975190839694665	20
gemma	False	2	2	243	0.5980075998405828	0.27863989877702533	0.3786008230452675	0.29849348067143344	20
gemma	False	3	3	243	0.6014884386105254	0.2762271651976559	0.39094650205761317	0.31307420494699645	20
gemma	False	5	5	243	0.6019841989968469	0.2758835302836439	0.3991769547325103	0.3223569859612263	20
gemma	False	all	20	243	0.5787171655164082	0.2920110089406038	0.4279835390946502	0.354785100286533	20
gpt_oss_20b	False	1	1	243	0.5955143004028822	0.2803681222525592	0.34156378600823045	0.24518045390125998	20
gpt_oss_20b	False	2	2	243	0.6009064595148219	0.2766305623669876	0.3333333333333333	0.23449684005833737	20
gpt_oss_20b	False	3	3	243	0.6035090916070955	0.2748265552701933	0.3497942386831276	0.25268607910308327	20
gpt_oss_20b	False	5	5	243	0.6059670561931487	0.2731228240474543	0.36213991769547327	0.2680153917910447	20
gpt_oss_20b	False	all	20	243	0.6072702989322952	0.2722194850172297	0.35390946502057613	0.2627398689779118	20
granite	False	1	1	243	0.47320899118402704	0.3651437025051209	0.2222222222222222	0.11354950781702378	20
granite	False	2	2	243	0.4863670758372691	0.3560232132261571	0.2222222222222222	0.11443831707223007	20
granite	False	3	3	243	0.4913751653751256	0.3525518700830001	0.2345679012345679	0.12777166676315632	20
granite	False	5	5	243	0.49053609675922505	0.3531334681284079	0.23868312757201646	0.13443210042936637	20
granite	False	all	20	243	0.4648258630856643	0.3709544441107739	0.2674897119341564	0.166734092353927	20
ministral	False	1	1	243	0.5680016878435263	0.29943841207791483	0.2716049382716049	0.1734376201091552	20
ministral	False	2	2	243	0.5748385941577034	0.2946994297424905	0.2757201646090535	0.1779336857280155	20
ministral	False	3	3	243	0.5764911208097194	0.2935539855528455	0.26337448559670784	0.16339052161871048	20
ministral	False	5	5	243	0.5769888905199396	0.29320895788163814	0.24279835390946503	0.1426270373921381	20
ministral	False	all	20	243	0.5662528521992833	0.3006506125739846	0.205761316872428	0.11032912833159447	20
qwen	False	1	1	243	0.5397685887325814	0.31900810512513583	0.20164609053497942	0.11000774037644656	20
qwen	False	2	2	243	0.5405558785028712	0.31846239744057575	0.18930041152263374	0.09983076344490416	20
qwen	False	3	3	243	0.5418185449051125	0.3175871837838744	0.18518518518518517	0.0962979658533838	20
qwen	False	5	5	243	0.5434965218706155	0.31642409878119154	0.17695473251028807	0.08749530604581301	20
qwen	False	all	20	243	0.5446142862983998	0.31564932351954267	0.18106995884773663	0.0909825742053122	20
