first_word	n_prompts_HP-D	mean_log_prob_HP-D	n_prompts_HP-S	mean_log_prob_HP-S	n_prompts_LP	mean_log_prob_LP	n_prompts_NP	mean_log_prob_NP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	n_prompts_HB	mean_log_prob_HB	softmax_HP-D	softmax_HP-S	softmax_LP	softmax_NP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	softmax_HB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP-D	total_emit_HP-S	total_emit_LP	total_emit_NP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	total_emit_HB	argmax_matches_empirical
(	20	-3.968370247093844e-05	20	-0.0010242652248052763	20	-4.2198550636385336e-05	20	-0.00023347763453784864	20	-0.0004764674312355055	20	-0.000888904135717894	20	-3.9701714013062886e-05	20	-5.555515344894957e-05	20	-0.00040339436718568323	0.11114625146994234	0.1110368727794231	0.1111459719543472	0.11112471408780987	0.11109771519648598	0.11105190386874074	0.11114624946802697	0.1111444874316597	0.11110583374356427	HP-D	0.11114625146994234	1	False	55	HP-D	16	5	11	13	0	0	2	7	1	True
((((;°д°))))	20	-49.520758056640624	20	-45.36365013122558	20	-60.146240234375	20	-58.14580593109131	20	-42.78905067443848	20	-34.79792442321777	20	-48.83726959228515	20	-57.66472129821777	20	-44.452714157104495	4.034298978023782e-07	2.5773720401888404e-05	9.798955893822954e-12	7.243648738426245e-11	0.00033830736309151084	0.999570625990041	7.991040812388594e-07	1.1718979203957596e-10	6.409019306142037e-05	HN-S	0.999570625990041	7	True	3	HN-S	0	0	0	0	0	3	0	0	0	True
(((;°д°)))	20	-37.61566524505615	20	-39.38205432891846	20	-42.56207847595215	20	-42.760351943969724	20	-32.30811595916748	20	-30.466699600219727	20	-41.340582275390624	20	-41.91483688354492	20	-34.63239688873291	0.0006686201324883359	0.0001143000491809006	4.753127650250819e-06	3.898256438143121e-06	0.13496427203893868	0.8510121882990437	1.612384213637544e-05	9.079729908885224e-06	0.013206764524214697	HN-S	0.8510121882990437	6	True	11	HN-S	0	0	0	0	0	11	0	0	0	True
(((;꒪д꒪)))	20	-44.05332717895508	20	-46.68896064758301	20	-50.75841732025147	20	-47.784984016418456	20	-37.325693130493164	20	-34.978304386138916	20	-46.802598571777345	20	-51.15818328857422	20	-40.92685546875	0.00010423714794212322	7.471046651511634e-06	1.2765530600337144e-07	2.4968045504487286e-06	0.08705563015944572	0.9104473624343853	6.668514884414545e-06	8.558993901012251e-08	0.002375920646895435	HN-S	0.9104473624343853	6	True	2	HN-S	0	0	0	0	0	2	0	0	0	True
(((o(*°▽°*)o)))	20	-32.023758029937746	20	-27.826249980926512	20	-35.89693098068237	20	-32.570232200622556	20	-33.71743021011353	20	-28.58707962036133	20	-38.453671836853026	20	-34.05695295333862	20	-32.93857536315918	0.010007942239072982	0.6657319091483948	0.00020808805467666027	0.005794474731372347	0.0018398919029467837	0.311082270090352	1.613870579977652e-05	0.0013102056089204484	0.004009079518464242	HP-S	0.6657319091483948	9	True	3	HP-S	0	3	0	0	0	0	0	0	0	True
(((o(*ﾟ▽ﾟ	20	-21.704168701171874	20	-17.10977234840393	20	-24.67528667449951	20	-21.077995014190673	20	-23.74086332321167	20	-19.812153339385986	20	-27.093581008911134	20	-22.51637706756592	20	-22.522254943847656	0.009132171217494949	0.9034310840149399	0.00046798712428350455	0.017081178155677456	0.00119137589752805	0.06057115801637217	4.168521247108095e-05	0.004053558394453625	0.00402980196677916	HP-S	0.9034310840149399	6	True	5	HP-S	0	5	0	0	0	0	0	0	0	True
(((o(°▽°)o)))	20	-44.05072441101074	20	-37.99407596588135	20	-42.11946315765381	20	-40.85471115112305	20	-48.73852252960205	20	-42.563418579101565	20	-49.79283447265625	20	-40.1264310836792	20	-44.015556526184085	0.0019403689577558209	0.8284252293150023	0.013385063120961911	0.04741276040322092	1.786485365620307e-05	0.008586437910127495	6.224688224876482e-06	0.09821622902580575	0.0020098217252447195	HP-S	0.8284252293150023	8	True	2	HP-S	0	2	0	0	0	0	0	0	0	True
((⊂(`ω´∩)	20	-86.00189476013183	20	-83.37350997924804	20	-83.56045379638672	20	-86.33591156005859	20	-82.18857955932617	20	-79.11199645996093	20	-81.77756080627441	20	-89.90796012878418	20	-87.39899368286133	0.000890269559459954	0.01233146091278019	0.01022882768325071	0.000637470175710829	0.0403295404666483	0.8745131345607672	0.0608312092642997	1.791178585825936e-05	0.0002201755912246668	HN-S	0.8745131345607672	7	False	0		0	0	0	0	0	0	0	0	0	
((✿◕‿◕))	20	-39.287526321411136	20	-33.893578910827635	20	-38.769547843933104	20	-39.23702983856201	20	-39.61220245361328	20	-35.369265937805174	20	-39.81928024291992	20	-38.34839782714844	20	-39.87313976287842	0.0035901679736984413	0.7900896352133941	0.006026566636393848	0.0037761141324671346	0.002594834812531517	0.18063155960194266	0.0021094875891004	0.009182756987682436	0.0019988770527894968	HP-S	0.7900896352133941	6	False	0		0	0	0	0	0	0	0	0	0	
()	20	-28.2492582321167	20	-25.926805400848387	20	-28.756292152404786	20	-27.72210826873779	20	-27.337195301055907	20	-25.33116235733032	20	-25.705508327484132	20	-26.499860191345213	20	-27.85040340423584	0.018361738394793676	0.1873019266415175	0.01105889569356429	0.031106569284792183	0.04571068123215591	0.33980262668826205	0.23369549608589532	0.10560092231672254	0.027361143662296476	HN-S	0.33980262668826205	1	False	14	HN-S	0	1	0	0	5	6	1	1	0	True
(-_-;)	20	-35.48257293701172	20	-56.9140007019043	20	-48.18672637939453	20	-49.31636009216309	20	-22.33166742324829	20	-20.21355810165405	20	-27.695838260650635	20	-40.2814266204834	20	-22.00333442687988	1.8150814249986183e-07	8.940160070623734e-17	5.515087092711318e-13	1.782209223951718e-13	0.09338170711529055	0.7765063283155658	0.0004371515417034972	1.4954794106918455e-09	0.1296746300230884	HN-S	0.7765063283155658	3	False	0		0	0	0	0	0	0	0	0	0	
(-‸–)	20	-58.788383674621585	20	-63.22596683502197	20	-65.24052219390869	20	-61.8492036819458	20	-56.69637050628662	20	-57.75699939727783	20	-55.80138301849365	20	-62.34248638153076	20	-56.89282455444336	0.025989276200642387	0.0003073097257572734	4.098887788526677e-05	0.0012175784287853124	0.21054452847552352	0.07289851558497801	0.5152667126494956	0.0007434760636186618	0.1729916139933141	LN	0.5152667126494956	4	False	2	HN-S	0	0	0	0	0	1	1	0	0	False
(..)	20	-24.09507474899292	20	-26.4310733795166	20	-25.920350360870362	20	-26.781596088409422	20	-24.045206165313722	20	-21.04204626083374	20	-20.699419021606445	20	-20.795434379577635	20	-20.59460277557373	0.008800902395196505	0.0008511691794627795	0.0014184697493791873	0.0005994953396451286	0.009250918508535853	0.186397734702613	0.26256797175248336	0.23852989074595476	0.2915834476267295	HB	0.2915834476267295	2	False	0		0	0	0	0	0	0	0	0	0	
(._.)	20	-18.9067343711853	20	-23.44849557876587	20	-19.110100746154785	20	-21.205637836456297	20	-20.49924373626709	20	-14.755581188201905	20	-10.733659195899964	20	-14.537746095657349	20	-15.554823780059815	0.0002690063117647271	2.8661613779674676e-06	0.0002195035637543798	2.6999851820643827e-05	5.4719792323760274e-05	0.01708383589458349	0.9534192556981381	0.02124173417465368	0.007682078551583321	LN	0.9534192556981381	3	False	1	LN	0	0	0	0	0	0	1	0	0	True
(/≧▽≦)	20	-27.060492706298827	20	-30.188941287994385	20	-31.984062004089356	20	-29.799400997161865	20	-27.998101806640626	20	-30.588023471832276	20	-31.110844612121582	20	-31.929934310913087	20	-29.18413372039795	0.5947675104503248	0.02604229660564996	0.00432581816096127	0.038446293738354384	0.23288889401288584	0.017472702831493984	0.010358616491536472	0.004566417523747822	0.07113145018504559	HP-D	0.5947675104503248	5	False	1	LP	0	0	1	0	0	0	0	0	0	False
(/▽＼)	20	-16.924398326873778	20	-19.671256923675536	20	-19.885660076141356	20	-17.700694942474364	20	-24.686940288543703	20	-23.817573833465577	20	-23.96027355194092	20	-20.47802600860596	20	-20.604783725738525	0.6126913834729518	0.03929128582767801	0.03170897003177742	0.2819034794299766	0.0002606229361669269	0.0006216897218549358	0.0005390139276335326	0.017535610072572108	0.015447944579388593	HP-D	0.6126913834729518	4	False	0		0	0	0	0	0	0	0	0	0	
(;'ω';)	20	-26.61808271408081	20	-27.245630550384522	20	-27.222561359405518	20	-26.70699052810669	20	-29.448996829986573	20	-26.11501274108887	20	-27.299132823944092	20	-27.702171897888185	20	-29.108818435668944	0.1774597074819477	0.09474563238898753	0.09695674369182958	0.16236319479706984	0.01046283513309457	0.29348119217438057	0.08980974363764943	0.06001859310121888	0.014702357593821906	HN-S	0.29348119217438057	5	False	1	HN-S	0	0	0	0	0	1	0	0	0	True
(;;)	20	-21.03999662399292	20	-22.962909317016603	20	-22.80941286087036	20	-24.225346088409424	20	-22.59628038406372	20	-16.949175071716308	20	-21.125761795043946	20	-22.592407035827637	20	-20.317558097839356	0.015492615026300149	0.0022647191766900594	0.0026404443663824505	0.0006408332451064173	0.0032676781943238044	0.9262878252442748	0.014219272879525494	0.0032803595937772483	0.03190625227361967	HN-S	0.9262878252442748	2	False	6	LN	0	0	0	0	0	0	6	0	0	False
(;;_;;)	20	-46.84648265838623	20	-49.55852298736572	20	-49.368897438049316	20	-48.258070182800296	20	-38.69598731994629	20	-32.273307132720944	20	-34.963611698150636	20	-47.70167694091797	20	-39.06900978088379	4.378460423827285e-07	2.907349743677421e-08	3.514395293657434e-08	1.0672760306708344e-07	0.001517178147651322	0.93405219024753	0.06338503226656579	1.8617238855045223e-07	0.0010448043747687487	HN-S	0.93405219024753	4	False	2	HN-S	0	0	0	0	0	2	0	0	0	True
(;_;)	20	-33.991957378387454	20	-38.18295764923096	20	-34.80743398666382	20	-33.93546228408813	20	-24.039657211303712	20	-19.830822801589967	20	-18.65628933906555	20	-30.858084678649902	20	-27.814216709136964	1.6646345787524948e-07	2.5187822290125243e-09	7.364816333384133e-08	1.7613855108434884e-07	0.0034958110967804414	0.23519144262028768	0.7612282859927652	3.822456328364937e-06	8.021906488401228e-05	LN	0.7612282859927652	3	False	4	LN	0	0	0	0	1	1	2	0	0	True
(;`ﾉωﾉ´)	20	-84.15556449890137	20	-83.72911987304687	20	-84.02679405212402	20	-84.30798034667968	20	-75.83302001953125	20	-72.89884910583496	20	-82.81097450256348	20	-80.15119171142578	20	-77.3624195098877	1.2125846351732135e-05	1.8574392084429464e-05	1.3792289213662077e-05	1.041162935690563e-05	0.04990536125569931	0.9385154803566144	4.65221820847833e-05	0.0006649501158400287	0.01081278193275508	HN-S	0.9385154803566144	7	False	1	LP	0	0	1	0	0	0	0	0	0	False
(;¬_¬)	20	-19.188008069992065	20	-38.52067680358887	20	-34.73692407608032	20	-32.52850704193115	20	-16.6563129901886	20	-17.537635850906373	20	-25.635028171539307	20	-21.711011457443238	20	-16.424045610427857	0.028795125199824516	1.1567716053729525e-10	5.087571785271217e-09	4.6303506610184645e-08	0.3620930375907703	0.14999145532982133	4.564715514933547e-05	0.002309896507238942	0.45676478671043996	HB	0.45676478671043996	5	False	0		0	0	0	0	0	0	0	0	0	
(;´д`)	20	-37.20087432861328	20	-40.70522718429565	20	-41.44709415435791	20	-39.1968656539917	20	-23.262500190734862	20	-22.477944946289064	20	-23.393985080718995	20	-35.96717119216919	20	-25.67256326675415	2.1269267789833165e-07	6.394865747024041e-09	3.045388475908665e-09	2.8900444386214294e-08	0.2404980248856341	0.5270350850770708	0.21086687010897956	7.303701303385669e-07	0.02159903852480868	HN-S	0.5270350850770708	4	True	43	LN	0	0	0	0	4	8	27	0	4	False
(;´д`ｿ)	20	-67.02896232604981	20	-70.53810653686523	20	-71.93029747009277	20	-70.19362983703613	20	-56.31073513031006	20	-54.150288581848145	20	-56.18412532806396	20	-69.32053413391114	20	-57.93397808074951	2.0111918569734776e-06	6.017991014956425e-08	1.495652478279517e-08	8.492897152174483e-08	0.09084905806493532	0.7881165422868567	0.10311132491836882	2.0334641065476206e-07	0.01792070012616504	HN-S	0.7881165422868567	6	False	0		0	0	0	0	0	0	0	0	0	
(;´༎ຶд༎ຶ`)	20	-45.987175941467285	20	-43.414402866363524	20	-46.89792385101318	20	-43.147932815551755	20	-31.70551586151123	20	-28.777849197387695	20	-28.5755464553833	20	-42.55438642501831	20	-35.459849166870114	1.4734684731098965e-08	1.9305541945924582e-07	5.926633294150282e-09	2.520046011697727e-07	0.023484807953424537	0.43878976631764116	0.5371745821829415	4.562284799212474e-07	0.0005499215961742215	LN	0.5371745821829415	8	False	12	LN	0	0	0	0	0	5	7	0	0	True
(;´∀`)	20	-24.36272039413452	20	-30.053773498535158	20	-28.347858238220216	20	-28.00481071472168	20	-28.514920234680176	20	-28.37199878692627	20	-30.250082111358644	20	-24.702751445770264	20	-25.85916395187378	0.4949301009157814	0.0016709017285600346	0.009200691996532482	0.012965943921995845	0.007785139325458851	0.008981241725483749	0.0013730778489954522	0.35226561908023807	0.11082728345695404	HP-D	0.4949301009157814	4	False	2	LN	0	0	0	0	0	0	2	0	0	False
(;´▽`A)	20	-57.18481712341308	20	-59.989059638977054	20	-59.71125392913818	20	-58.82088680267334	20	-61.67539653778076	20	-56.79975814819336	20	-61.43029670715332	20	-57.64945316314697	20	-58.68117847442627	0.27153317631730406	0.016442045642976463	0.02170727640546501	0.05287944230325009	0.003045012218877418	0.3990725793613769	0.0038907609075224153	0.17062160845506272	0.060808098388164845	HN-S	0.3990725793613769	6	False	1	NP	0	0	0	1	0	0	0	0	0	False
(;´ヮ`)	20	-39.94683437347412	20	-39.9201940536499	20	-41.876426696777344	20	-39.462288284301756	20	-38.795329856872556	20	-35.917144775390625	20	-35.76551494598389	20	-36.8746940612793	20	-36.34564151763916	0.005350907907352433	0.005495373567125444	0.0007769913397074578	0.008686866939751686	0.016924643675331617	0.3009535238166992	0.3502284571675483	0.11551571265517975	0.19606752293130417	LN	0.3502284571675483	4	True	1	LN	0	0	0	0	0	0	1	0	0	True
(;´꒳`)	20	-29.40425224304199	20	-30.984438037872316	20	-26.489056873321534	20	-27.379636669158934	20	-30.823835849761963	20	-27.092346954345704	20	-26.338073539733887	20	-25.810496711730956	20	-29.78785800933838	0.010408149652049633	0.002143421373104274	0.19205551855827607	0.07882298905159185	0.002516843439398349	0.10505609108817882	0.22335620367183306	0.37854866993976216	0.007092113225805866	NB	0.37854866993976216	4	False	1	LN	0	0	0	0	0	0	1	0	0	False
(;ω;)	20	-27.035228538513184	20	-32.66342258453369	20	-32.45850505828857	20	-30.5612548828125	20	-25.209625244140625	20	-22.39096841812134	20	-24.42502555847168	20	-28.61171817779541	20	-24.643539810180663	0.007354519272220852	2.6439952651778703e-05	3.245302796305012e-05	0.0002163816887797258	0.04564610524296298	0.7647699821087853	0.10003478457780528	0.0015201748360462429	0.08039915929278466	HN-S	0.7647699821087853	3	False	47	LN	0	2	0	1	0	7	37	0	0	False
(;д;)	20	-37.43783235549927	20	-38.76820087432861	20	-43.726548194885254	20	-40.33920478820801	20	-26.414286041259764	20	-23.34237880706787	20	-28.50879955291748	20	-39.2118257522583	20	-29.548589420318603	7.170653953091737e-07	1.8957761612859762e-07	1.331693184876766e-09	3.9401134510757816e-08	0.04395660070582943	0.9487165145020378	0.005412381979430749	1.216531115181898e-07	0.0019134337837513346	HN-S	0.9487165145020378	3	False	1	HN-S	0	0	0	0	0	1	0	0	0	True
