first_word	n	median_within_consistency	dominant_quadrant	HP-D_n	HP-S_n	LP_n	NP_n	HN-D_n	HN-S_n	LN_n	NB_n	HB_n
(🚨)	3	1.0	HN-S	0	0	0	0	0	3	0	0	0
(・ө・)	3	1.0	NB	0	0	0	0	0	0	0	3	0
(｡・̀‿・́｡)	4	0.9998754858970642	NB	0	0	0	0	0	0	0	4	0
(🌿‿🌿)	7	0.9998732209205627	LP	0	0	7	0	0	0	0	0	0
(⁎‿‿‿⁎)	5	0.9997198581695557	LP	0	0	5	0	0	0	0	0	0
(˘̩╭╮˘̩)	9	0.9996175169944763	NP	0	2	0	7	0	0	0	0	0
(ò_ó)	5	0.9995505809783936	HN-D	0	0	0	0	5	0	0	0	0
(˃▿˂)	3	0.9994871616363525	NP	0	1	0	2	0	0	0	0	0
(˶ˆᗜˆ˵)	3	0.9993489384651184	NP	1	0	0	2	0	0	0	0	0
(★ω★)	3	0.9992832541465759	HP-S	0	3	0	0	0	0	0	0	0
(ﾉ◕ヮ◕)	4	0.9992556571960449	HP-S	0	4	0	0	0	0	0	0	0
(˙▿˙)	3	0.9992276430130005	NB	0	0	0	0	0	0	0	3	0
(˶ˆ☁ˆ˵)	4	0.9992160797119141	LP	0	0	4	0	0	0	0	0	0
(｡‿‿‿｡)	18	0.9991633892059326	LP	0	0	18	0	0	0	0	0	0
(｡>﹏<｡)	4	0.9991337060928345	HN-S	0	0	0	0	0	4	0	0	0
(˶ᵔ‿ᵔ˶)	6	0.9990976452827454	LP	1	0	5	0	0	0	0	0	0
(｡・ω・｡)	12	0.9990312457084656	LP	0	0	12	0	0	0	0	0	0
(¬_¬)	6	0.998992919921875	HB	0	0	0	0	0	0	0	0	6
(◕‿◕)	11	0.998966634273529	HP-S	0	9	0	2	0	0	0	0	0
(˃‿˂)	4	0.9989295601844788	NP	1	1	0	2	0	0	0	0	0
(╯°□°)	152	0.9989141225814819	HN-D	0	0	0	1	123	8	0	0	20
(°д°;)	3	0.9988917708396912	HN-D	0	0	0	0	2	1	0	0	0
(˘‿˘)	11	0.9988883137702942	LP	0	0	11	0	0	0	0	0	0
(｡˃‿˂｡)	6	0.9988586902618408	HP-S	0	6	0	0	0	0	0	0	0
(⊙﹏⊙)	19	0.9988412261009216	HN-S	0	0	0	1	0	18	0	0	0
(｡♥‿♥｡)	49	0.9988192319869995	NP	7	4	16	22	0	0	0	0	0
(｡╯︵╰｡)	47	0.9988123178482056	LN	0	0	0	0	0	0	47	0	0
(˃🚀˂)	6	0.9987905025482178	HP-S	0	5	0	1	0	0	0	0	0
(・‿・)	5	0.998784065246582	NB	0	0	0	0	0	0	0	5	0
(´ω`)	6	0.9987620711326599	LP	0	0	6	0	0	0	0	0	0
(˘ω˘)	16	0.9986740946769714	LP	1	0	13	1	0	0	0	1	0
(͡°͜ʖ͡°)	78	0.9986239075660706	HP-D	77	0	0	1	0	0	0	0	0
(｡・́︿・̀｡)	169	0.998553454875946	LN	2	0	0	0	6	47	113	1	0
(｡˃‿˂)	26	0.9985334873199463	HP-S	3	14	0	9	0	0	0	0	0
(˙꒳˙)	54	0.9985093474388123	NB	1	0	0	3	0	0	0	46	4
(≧▽≦)	8	0.9984310865402222	HP-S	1	7	0	0	0	0	0	0	0
(・_・)	53	0.9984159469604492	NB	0	0	0	0	0	5	0	44	4
(😌)	6	0.9983539581298828	LP	0	0	4	2	0	0	0	0	0
(´▽`)	32	0.9983366131782532	LP	0	0	22	10	0	0	0	0	0
(｡・̀‿-)	16	0.9982921481132507	NB	0	0	2	2	0	0	0	12	0
(๑˃‿˂)	106	0.9980490207672119	HP-S	25	67	2	11	0	0	0	1	0
(ﾟ▽ﾟ)	9	0.9979120492935181	HP-S	0	5	0	4	0	0	0	0	0
(✿◠‿◠)	10	0.9978916645050049	HP-S	0	4	3	3	0	0	0	0	0
(｡◕‿◕｡)	48	0.9978252649307251	NP	1	1	6	25	0	0	0	15	0
(˘▽˘)	45	0.9977145791053772	NP	1	9	2	33	0	0	0	0	0
(・̀ω・́)	3	0.9976950883865356	NB	1	0	0	1	0	0	0	1	0
(‿‿‿)	35	0.997448205947876	LP	0	0	15	8	0	0	0	12	0
(╥﹏╥)	8	0.9970961809158325	HP-S	0	3	0	0	2	3	0	0	0
(⊙_⊙)	234	0.9968112707138062	HB	23	0	0	0	14	65	0	11	121
