first_word	n_prompts_HP-D	mean_log_prob_HP-D	n_prompts_HP-S	mean_log_prob_HP-S	n_prompts_LP	mean_log_prob_LP	n_prompts_NP	mean_log_prob_NP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	n_prompts_HB	mean_log_prob_HB	softmax_HP-D	softmax_HP-S	softmax_LP	softmax_NP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	softmax_HB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP-D	total_emit_HP-S	total_emit_LP	total_emit_NP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	total_emit_HB	argmax_matches_empirical
(	20	-0.1540881037712097	20	-0.2149076208472252	20	-0.18901362121105195	20	-0.20288037396967412	20	-0.12837844677269458	20	-0.11878343001008033	20	-0.17350415512919426	20	-0.22797849476337434	20	-0.1833748769015074	0.1136142827982984	0.10691025136074528	0.10971473836453421	0.10820385097483075	0.11657313965809608	0.11769704420605981	0.11142961944771673	0.10552193397149208	0.11033513921822659	HN-S	0.11769704420605981	1	False	55	HP-D	16	5	11	13	0	0	2	7	1	False
((((;°д°))))	20	-28.341920852661133	20	-27.844576835632324	20	-28.60810966491699	20	-27.861988735198974	20	-26.831803035736083	20	-26.81985569000244	20	-27.152749061584473	20	-28.394878959655763	20	-27.333221244812012	0.047370103304315965	0.07789293961055074	0.036299446218786495	0.07654841490229372	0.214456970529956	0.21703452893277586	0.1555804698565901	0.04492674123982373	0.12989038540490752	HN-S	0.21703452893277586	6	True	3	HN-S	0	0	0	0	0	3	0	0	0	True
(((;°д°)))	20	-24.650998687744142	20	-24.527511978149413	20	-25.146942615509033	20	-24.320012283325195	20	-23.073492336273194	20	-23.237690925598145	20	-23.524618244171144	20	-24.774279403686524	20	-23.676540756225585	0.050752713371280775	0.057423394589200843	0.03090818866611093	0.07066507670940493	0.2457885057453116	0.2085696095102056	0.15654531573984248	0.04486618378959933	0.13448101187904365	HN-D	0.2457885057453116	6	True	11	HN-S	0	0	0	0	0	11	0	0	0	False
(((;꒪д꒪)))	20	-30.1153076171875	20	-30.521994495391844	20	-30.446498584747314	20	-29.890993785858154	20	-29.782440280914308	20	-29.481304454803468	20	-29.53523998260498	20	-29.690116310119627	20	-29.69838876724243	0.08511500083914172	0.05667404891802719	0.06111836082681545	0.10651833441400775	0.11873221097751356	0.1604538649587073	0.1520289445985151	0.130215998711399	0.12914323575587303	HN-S	0.1604538649587073	10	True	2	HN-S	0	0	0	0	0	2	0	0	0	True
(((o(*°▽°*)o)))	20	-14.272443485260009	20	-12.739427518844604	20	-14.033995342254638	20	-13.76845326423645	20	-13.80376181602478	20	-14.272899341583251	20	-13.710532093048096	20	-14.164427900314331	20	-13.677765274047852	0.06315251412726841	0.292530409804357	0.08015808946242838	0.10453718872035399	0.10091053469872288	0.06312373221508161	0.11077089421422645	0.07035601246505842	0.11446062429250282	HP-S	0.292530409804357	9	True	3	HP-S	0	3	0	0	0	0	0	0	0	True
(((o(*ﾟ▽ﾟ	20	-10.98925976753235	20	-9.865747737884522	20	-11.07408652305603	20	-10.740107107162476	20	-10.686042547225952	20	-11.083344268798829	20	-10.694113636016846	20	-11.15323896408081	20	-10.363948869705201	0.07934889515753413	0.24404839672601236	0.07289556261558204	0.10179970269031405	0.10745495575478377	0.07222382820193705	0.1065911678095684	0.06734814276921697	0.14828934827505122	HP-S	0.24404839672601236	6	True	5	HP-S	0	5	0	0	0	0	0	0	0	True
(((o(°▽°)o)))	20	-16.402134227752686	20	-15.501721239089965	20	-16.795884323120116	20	-16.242687511444093	20	-16.170418787002564	20	-16.595695114135744	20	-16.36762852668762	20	-17.00610933303833	20	-15.981927299499512	0.09526710276941718	0.23441605354683534	0.06425981399761754	0.11173514241025817	0.12010903980924233	0.07850196592769589	0.09861173350444578	0.05207627387892107	0.14502287415556675	HP-S	0.23441605354683534	9	True	2	HP-S	0	2	0	0	0	0	0	0	0	True
((⊂(`ω´∩)	20	-33.750939559936526	20	-34.75551338195801	20	-33.0943772315979	20	-34.307449150085446	20	-33.93442440032959	20	-33.23268909454346	20	-32.762109375	20	-33.93035449981689	20	-34.2191556930542	0.09497599061838086	0.034780271228658115	0.18312820066718213	0.05444083628070331	0.07905464236949494	0.15947299454926944	0.25530382697953874	0.07937704252225715	0.05946619478451531	LN	0.25530382697953874	9	False	0		0	0	0	0	0	0	0	0	0	
((✿◕‿◕))	20	-16.35463066101074	20	-15.365110731124878	20	-16.015508937835694	20	-15.808397150039672	20	-17.97074251174927	20	-17.954307746887206	20	-17.197939491271974	20	-16.294909286499024	20	-16.93746919631958	0.10786134597283761	0.29014085112523336	0.15140650290450597	0.18624817893656775	0.021428776563972154	0.021783863359658817	0.046411057473397396	0.11449921226978194	0.06022021139404488	HP-S	0.29014085112523336	10	False	0		0	0	0	0	0	0	0	0	0	
((・▽・))	20	-14.137512588500977	20	-14.039732408523559	20	-14.099462413787842	20	-13.848289728164673	20	-14.539276552200317	20	-14.59823293685913	20	-14.34430136680603	20	-13.903995752334595	20	-13.922526597976685	0.10997554324652538	0.12127227046957174	0.11424076347668334	0.14686016378759556	0.0735888885280068	0.06937576913195428	0.08943116548501023	0.13890286044661648	0.13635257542803628	NP	0.14686016378759556	5	True	1	HP-S	0	1	0	0	0	0	0	0	0	False
()	20	-14.279088258743286	20	-14.264907693862915	20	-13.864013671875	20	-13.896630334854127	20	-14.70025339126587	20	-14.353158473968506	20	-14.123504114151	20	-13.996728515625	20	-14.170874834060669	0.0981506627924058	0.09955240992777004	0.14864757865625342	0.14387740710623428	0.06441448569887064	0.09114334239207345	0.11467336906481988	0.13017288045854455	0.10936786390302804	LP	0.14864757865625342	1	False	14	HN-S	0	1	0	0	5	6	1	1	0	False
(-_-;)	20	-15.75658826828003	20	-17.897115421295165	20	-15.386219453811645	20	-16.34499888420105	20	-15.299457836151124	20	-14.684075498580933	20	-14.992988538742065	20	-14.895015048980714	20	-15.262821626663207	0.07259704860239206	0.008536892921946891	0.10514003019851177	0.04030653651586894	0.11466957138996751	0.2121804385367843	0.1557923448376157	0.17182860328302144	0.11894853371389136	HN-S	0.2121804385367843	3	False	0		0	0	0	0	0	0	0	0	0	
(-‸–)	20	-27.137928581237794	20	-28.458549308776856	20	-26.17387475967407	20	-27.04751262664795	20	-27.111982536315917	20	-26.861994552612305	20	-26.489461040496828	20	-26.101071071624755	20	-27.037443828582763	0.07594972045111932	0.020276261565931188	0.19916335550153758	0.08313680491671055	0.07794610242259055	0.1000835740012378	0.14526201170539033	0.21420404840500729	0.0839781210304754	NB	0.21420404840500729	5	False	2	HN-S	0	0	0	0	0	1	1	0	0	False
(..)	20	-16.08053092956543	20	-16.231374502182007	20	-16.172620487213134	20	-16.164362287521364	20	-16.544108963012697	20	-16.28184857368469	20	-16.28915548324585	20	-15.597780847549439	20	-15.768146085739136	0.1118921314399517	0.09622524280243504	0.1020482496695085	0.10289447382830086	0.07038338745125343	0.09148889977080266	0.09082283505512892	0.18132398019984663	0.15292079978277234	NB	0.18132398019984663	2	False	0		0	0	0	0	0	0	0	0	0	
