first_word	n_prompts_HP-D	mean_log_prob_HP-D	n_prompts_HP-S	mean_log_prob_HP-S	n_prompts_LP	mean_log_prob_LP	n_prompts_NP	mean_log_prob_NP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	n_prompts_HB	mean_log_prob_HB	softmax_HP-D	softmax_HP-S	softmax_LP	softmax_NP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	softmax_HB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP-D	total_emit_HP-S	total_emit_LP	total_emit_NP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	total_emit_HB	argmax_matches_empirical
(	20	-3.793658123910427	20	-8.576061654090882	20	-3.9405190639197825	20	-5.0962201118469235	20	-5.22526046037674	20	-5.636468917131424	20	-2.0526523917913435	20	-3.9864618301391603	20	-4.3376122415065765	0.10363671114787149	0.0008680448384854362	0.08948139098944485	0.028172029776301392	0.024761481620408258	0.01641311693967642	0.5910480718139108	0.08546337448216652	0.060155778391734756	LN	0.5910480718139108	1	False	55	HP-D	16	5	11	13	0	0	2	7	1	False
((((;°д°))))	20	-41.042446517944335	20	-47.63603973388672	20	-43.782302665710446	20	-45.47417068481445	20	-38.837218856811525	20	-39.630548095703126	20	-37.40023555755615	20	-41.82061576843262	20	-38.411835289001466	0.01497643919506841	2.0504416642990656e-05	0.0009671729940391606	0.00017812924067023408	0.13587100011497558	0.06145939225197619	0.5717427807780454	0.006877869892860201	0.20790671111572184	LN	0.5717427807780454	6	True	3	HN-S	0	0	0	0	0	3	0	0	0	False
(((;°д°)))	20	-41.557675170898435	20	-44.757470512390135	20	-42.596308898925784	20	-44.945326042175296	20	-41.03737468719483	20	-38.61738758087158	20	-37.91280937194824	20	-42.87549114227295	20	-41.26436767578125	0.016150255075552813	0.000658454736267653	0.005716187805699653	0.0005456841079243119	0.027173339505839965	0.30558361307646825	0.6181935787577981	0.004323736125333607	0.021655150809115627	LN	0.6181935787577981	6	True	11	HN-S	0	0	0	0	0	11	0	0	0	False
(((;꒪д꒪)))	20	-45.83784732818604	20	-47.24224681854248	20	-43.74814167022705	20	-47.66578350067139	20	-46.59947738647461	20	-43.567732620239255	20	-42.472792053222655	20	-45.38542232513428	20	-46.828384971618654	0.019796176709839547	0.004860247357567617	0.16000330664499543	0.0031821359417353347	0.00924292843192492	0.19163710999944192	0.5728042862265738	0.03112196458464536	0.0073518441032759405	LN	0.5728042862265738	10	True	2	HN-S	0	0	0	0	0	2	0	0	0	False
(((o(*°▽°*)o)))	20	-36.49310512542725	20	-37.85364055633545	20	-34.72426748275757	20	-37.05080909729004	20	-43.120199012756345	20	-44.08852062225342	20	-39.69634227752685	20	-34.708380126953124	20	-41.35132064819336	0.07298608619291362	0.018722638225642747	0.42799283960821005	0.041786146076671686	9.663395829001892e-05	3.669382941308196e-05	0.0029654585381176826	0.4348468157456355	0.0005666878251056312	NB	0.4348468157456355	10	True	3	HP-S	0	3	0	0	0	0	0	0	0	False
(((o(*ﾟ▽ﾟ	20	-18.434003591537476	20	-19.250472927093504	20	-16.24828381538391	20	-18.63475570678711	20	-24.773874378204347	20	-25.833632278442384	20	-21.060276412963866	20	-16.27307782173157	20	-23.064462757110597	0.050198793460723395	0.022187335568386483	0.4466211820746157	0.04106839618800966	8.857728821637388e-05	3.069554665088476e-05	0.0036317628729955055	0.4356838046542357	0.0004894523461663227	LP	0.4466211820746157	9	True	5	HP-S	0	5	0	0	0	0	0	0	0	False
(((o(°▽°)o)))	20	-27.376664447784425	20	-32.8250973701477	20	-29.991333484649658	20	-30.716222190856932	20	-26.826248168945312	20	-27.99623794555664	20	-25.224815464019777	20	-27.970463943481445	20	-27.723511695861816	0.07550029674777833	0.0003248809941090524	0.005526018364668911	0.002676684344283789	0.1309156032418274	0.040632290739669286	0.64935890127935	0.04169316018390014	0.05337216410441302	LN	0.64935890127935	10	True	2	HP-S	0	2	0	0	0	0	0	0	0	False
((⊂(`ω´∩)	20	-59.06021671295166	20	-71.79039993286133	20	-60.5620454788208	20	-66.28513526916504	20	-65.44408149719239	20	-65.70367088317872	20	-62.874197006225586	20	-59.64956855773926	20	-63.258552360534665	0.549990809083019	1.6281975841493993e-06	0.1224953170951762	0.0004005098218178609	0.0009287058538821905	0.0007163742142888695	0.012132906102895292	0.3050725821447586	0.008261167486577915	HP-D	0.549990809083019	10	False	0		0	0	0	0	0	0	0	0	0	
((✿◕‿◕))	20	-27.852886867523193	20	-31.629988193511963	20	-27.231077480316163	20	-27.394568252563477	20	-33.427512550354	20	-32.735335445404054	20	-31.398313903808592	20	-24.792825317382814	20	-29.36123867034912	0.03837745013259952	0.0008784192663437339	0.071470118422167	0.060690590278953654	0.00014556164110802737	0.0002908410075564921	0.0011074311065062837	0.8185476416076316	0.008491946537133612	NB	0.8185476416076316	10	False	0		0	0	0	0	0	0	0	0	0	
((・▽・))	20	-24.188677501678466	20	-25.014137744903564	20	-22.077062702178956	20	-24.260041427612304	20	-35.05999603271484	20	-30.076302433013915	20	-31.348351764678956	20	-20.78375883102417	20	-25.89139928817749	0.024432953243116378	0.010702448217418847	0.20185458529440428	0.022750084005814408	4.641114840961012e-07	6.776617058719014e-05	1.899192293065049e-05	0.7357213412032959	0.004451365830948059	NB	0.7357213412032959	6	True	1	HP-S	0	1	0	0	0	0	0	0	0	False
