first_word	n	median_within_consistency	dominant_quadrant	HP-D_n	HP-S_n	LP_n	NP_n	HN-D_n	HN-S_n	LN_n	NB_n	HB_n
(ﾉ´ω`ﾉ)	4	0.9913815259933472	HN-D	0	0	0	0	3	1	0	0	0
(´;ω;`)	3	0.9885136485099792	HN-S	0	0	0	0	1	2	0	0	0
(⚠)	3	0.98680180311203	HP-D	2	0	0	0	0	1	0	0	0
(⊙◞⊙)	5	0.98640376329422	HN-S	0	0	0	0	0	4	1	0	0
(¯︿¯)	3	0.9855863451957703	LN	0	0	0	0	0	0	3	0	0
(￣▽￣;)	13	0.9836702346801758	HN-S	1	2	0	0	0	4	4	0	2
(ﾉ´・ω・`)	22	0.9833148717880249	HN-D	1	0	0	0	14	7	0	0	0
(❤)	6	0.9830622673034668	LN	0	0	0	0	0	2	4	0	0
(ﾉ´・ω・)	3	0.9830327033996582	LN	0	0	0	0	0	1	2	0	0
(ﾟｰﾟ)	5	0.9828451871871948	LN	0	0	0	0	0	2	3	0	0
(￣_￣;)	5	0.9825719594955444	HN-S	0	0	0	0	0	5	0	0	0
(￣_￣)	11	0.982459545135498	HB	1	0	0	2	2	0	1	0	5
(¯`・.¸)	3	0.9819021224975586	NP	0	1	0	2	0	0	0	0	0
(￣︶￣)	10	0.9817862510681152	HP-D	4	0	0	0	1	0	2	1	2
(︿︿)	50	0.981281042098999	HN-D	0	0	2	0	27	6	15	0	0
:(	39	0.981122612953186	HN-D	1	1	0	0	15	11	7	0	4
(╥﹏╥)	4	0.981043815612793	HP-S	0	1	0	0	0	1	1	0	1
(￣﹏￣)	11	0.980945885181427	HB	0	0	0	1	3	2	1	0	4
(⊙_⊙)	8	0.9804396033287048	HN-S	2	0	1	0	0	4	0	0	1
(￣^￣)	3	0.9802036881446838	LP	0	0	3	0	0	0	0	0	0
(︵︵)	3	0.9782414436340332	HN-S	0	0	0	0	0	2	1	0	0
(￣∇￣)	30	0.9780793786048889	NB	4	0	6	6	0	0	1	11	2
(￣￣)	8	0.9773744344711304	HN-S	0	1	0	0	0	3	2	1	1
(´・ω・`)	14	0.9769455194473267	NP	0	0	1	6	1	0	3	1	2
(￣︿￣)	8	0.9758742451667786	HP-D	3	0	0	0	0	1	1	1	2
(￣ω￣;)	13	0.9757620692253113	HN-S	0	0	2	0	1	4	3	0	3
(≧▽≦)	30	0.9749840497970581	NB	2	0	2	1	1	0	5	11	8
(￣∇￣;)	13	0.9746413826942444	NP	2	1	1	4	0	0	1	2	2
(ﾉ◕ヮ◕)	553	0.9745809435844421	HP-S	82	106	33	65	69	50	41	41	66
(´・_・`)	9	0.9743781685829163	LN	0	0	0	1	0	1	4	2	1
(◕‿◕✿)	139	0.9742302894592285	NB	16	5	34	11	1	11	7	38	16
(✨)	8	0.974164605140686	LP	1	1	3	1	0	0	0	2	0
(・̀‿・́)	22	0.9741086959838867	HN-S	1	2	4	2	2	5	2	3	1
(╯°□°)	31	0.9735812544822693	NB	3	3	4	6	0	2	1	7	5
(￣▽￣)	135	0.9734350442886353	NP	22	13	18	29	2	2	10	20	19
(｡・́︿・̀｡)	22	0.9731078743934631	LP	2	3	5	3	1	1	2	5	0
(・_・)	3	0.9724408388137817	HN-S	0	0	1	0	0	1	0	1	0
(╯✧▽✧)	3	0.9709448218345642	HP-S	0	1	1	1	0	0	0	0	0
(◕‿◕)	18	0.9701739549636841	LP	0	0	11	3	0	0	0	4	0
