first_word	n_prompts_HP-D	mean_log_prob_HP-D	n_prompts_HP-S	mean_log_prob_HP-S	n_prompts_LP	mean_log_prob_LP	n_prompts_NP	mean_log_prob_NP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	n_prompts_HB	mean_log_prob_HB	softmax_HP-D	softmax_HP-S	softmax_LP	softmax_NP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	softmax_HB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP-D	total_emit_HP-S	total_emit_LP	total_emit_NP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	total_emit_HB	argmax_matches_empirical
(	20	-0.3007142715156078	20	-0.570220285654068	20	-0.3750292517244816	20	-0.3403162360191345	20	-0.28955857306718824	20	-0.3285378351807594	20	-0.27022913545370103	20	-0.24545459151268006	20	-0.26444957703351973	0.11413198415277467	0.08716906600254054	0.10595776318952209	0.10970046103206355	0.11541233447411905	0.11100019641032019	0.11766489017639367	0.1206163942900756	0.11834691027219055	NB	0.1206163942900756	1	False	55	HP-D	16	5	11	13	0	0	2	7	1	False
((((;°д°))))	20	-43.35578956604004	20	-41.932005882263184	20	-41.90377407073974	20	-42.78715705871582	20	-42.57342681884766	20	-41.169373512268066	20	-41.12993755340576	20	-42.40150394439697	20	-43.736400032043456	0.0287175775890381	0.11925846094997437	0.1226733203652062	0.05071095195502812	0.06279479212122825	0.255679689612645	0.2659641186717376	0.07457423084333706	0.019626857891805384	LN	0.2659641186717376	8	True	3	HN-S	0	0	0	0	0	3	0	0	0	False
(((;°д°)))	20	-37.921760940551756	20	-38.836085891723634	20	-36.84933204650879	20	-39.58369464874268	20	-40.09768772125244	20	-40.18964385986328	20	-43.53665008544922	20	-38.05557556152344	20	-38.21052150726318	0.1572908467171424	0.06304014005460828	0.4596776635487776	0.029849345407660252	0.01785296922798791	0.01628449941261982	0.0005730441431950014	0.13759051582395826	0.11784097566405047	LP	0.4596776635487776	6	True	11	HN-S	0	0	0	0	0	11	0	0	0	False
(((;꒪д꒪)))	20	-46.70451889038086	20	-47.903784561157224	20	-46.45413665771484	20	-49.132592010498044	20	-48.92983283996582	20	-48.92728614807129	20	-52.582590866088864	20	-47.611335372924806	20	-47.75747776031494	0.27427373077287603	0.08267034515463204	0.35230907974774006	0.024192762181140887	0.02963075006186441	0.029706306621678984	0.0007680155101070695	0.1107538468188029	0.09569516313115765	LP	0.35230907974774006	10	True	2	HN-S	0	0	0	0	0	2	0	0	0	False
(((o(*°▽°*)o)))	20	-32.29343709945679	20	-28.781378936767577	20	-30.31122283935547	20	-32.640441703796384	20	-37.2788589477539	20	-36.44395160675049	20	-36.841674613952634	20	-31.828874111175537	20	-35.25290145874023	0.02264537616852921	0.7590091640033984	0.16437821283752277	0.01600579884001449	0.00015482402031388116	0.0003568075140737125	0.00023972045003051976	0.0360360085733747	0.0011740875927424693	HP-S	0.7590091640033984	10	True	3	HP-S	0	3	0	0	0	0	0	0	0	True
(((o(*ﾟ▽ﾟ	20	-27.668884372711183	20	-24.69237184524536	20	-26.115807819366456	20	-28.107786464691163	20	-32.2814266204834	20	-31.694044208526613	20	-32.14963350296021	20	-27.54809675216675	20	-30.28363208770752	0.036723269959054235	0.7204839510313144	0.17355371817449133	0.02367710437268726	0.0003645353920149945	0.0006558985031244295	0.00041588831958932354	0.04143799582578941	0.0026876384219348738	HP-S	0.7204839510313144	11	True	5	HP-S	0	5	0	0	0	0	0	0	0	True
(((o(°▽°)o)))	20	-29.090913772583008	20	-26.264697456359862	20	-25.870668601989745	20	-30.03224630355835	20	-35.27754020690918	20	-33.698824882507324	20	-34.682302951812744	20	-27.264916610717773	20	-31.82928285598755	0.020163221798095984	0.3403847372732461	0.504771278310169	0.007865827239863246	4.147078015117361e-05	0.00020108031611442095	7.520564853261742e-05	0.12519310730967614	0.0013040713241511974	LP	0.504771278310169	10	True	2	HP-S	0	2	0	0	0	0	0	0	0	False
((⊂(`ω´∩)	20	-53.17646465301514	20	-53.80214176177979	20	-51.8720043182373	20	-53.70900459289551	20	-54.250692176818845	20	-53.52378425598145	20	-53.67082500457764	20	-51.71694984436035	20	-53.6421501159668	0.08066215302253528	0.043146114748834834	0.29729645811696653	0.047357705520455755	0.02755108610451573	0.056994221111762514	0.04920076293044952	0.3471594867367237	0.05063201170775623	NB	0.3471594867367237	10	False	0		0	0	0	0	0	0	0	0	0	
((✿◕‿◕))	20	-19.513103675842284	20	-19.78538007736206	20	-19.135999298095705	20	-19.112862396240235	20	-22.652167510986327	20	-22.563350105285643	20	-21.452674388885498	20	-18.033955574035645	20	-19.86769847869873	0.09963152593310819	0.07588372529508143	0.14526839300331917	0.14866863743328737	0.004316370144808758	0.0047172792838859855	0.014323591410294973	0.437303185010725	0.06988729248548929	NB	0.437303185010725	11	False	0		0	0	0	0	0	0	0	0	0	
((・▽・))	20	-21.22642641067505	20	-22.423820972442627	20	-19.159895801544188	20	-21.152565479278564	20	-22.524982929229736	20	-22.41469259262085	20	-21.136981964111328	20	-18.87394275665283	20	-21.27189588546753	0.0427086726493413	0.012897164027711759	0.3372864655074566	0.04598259418268795	0.011656284627907559	0.01301543322138761	0.04670477709587985	0.44893838904994277	0.040810219637684636	NB	0.44893838904994277	6	True	1	HP-S	0	1	0	0	0	0	0	0	0	False
()	20	-11.339776754379272	20	-11.295220327377319	20	-10.923466777801513	20	-11.287191343307494	20	-11.287995862960816	20	-10.969162797927856	20	-11.160854148864747	20	-11.37670464515686	20	-11.36601209640503	0.09754707436922337	0.10199170664042975	0.14791607499913673	0.1028138926707512	0.10273121013778415	0.1413090070727605	0.11665929534294141	0.09401056642717417	0.0950211723397988	LP	0.14791607499913673	1	False	14	HN-S	0	1	0	0	5	6	1	1	0	False
(-_-;)	20	-15.307473087310791	20	-16.62092032432556	20	-16.753040027618407	20	-16.090279054641723	20	-14.690315341949463	20	-14.9966383934021	20	-15.094122934341431	20	-16.165533542633057	20	-15.379064559936523	0.12865784055378687	0.03459500282800604	0.030313390373236392	0.05881227045732486	0.23848686300539615	0.17556181017343112	0.15925499100963275	0.05454881704754285	0.11976901455164306	HN-D	0.23848686300539615	3	False	0		0	0	0	0	0	0	0	0	0	
