first_word	n_prompts_HP-D	mean_log_prob_HP-D	n_prompts_HP-S	mean_log_prob_HP-S	n_prompts_LP	mean_log_prob_LP	n_prompts_NP	mean_log_prob_NP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	n_prompts_HB	mean_log_prob_HB	softmax_HP-D	softmax_HP-S	softmax_LP	softmax_NP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	softmax_HB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP-D	total_emit_HP-S	total_emit_LP	total_emit_NP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	total_emit_HB	argmax_matches_empirical
(	20	-0.0736438414081931	20	-0.11899872720241547	20	-0.10080942511558533	20	-0.1565089212730527	20	-0.07830691803246737	20	-0.11910536531358958	20	-0.1616321202367544	20	-0.10438345707952976	20	-0.08193434383720159	0.11524081365918273	0.11013083685709428	0.11215236931489318	0.10607632592460464	0.11470468788410319	0.11011909333883425	0.10553426552881207	0.1117522486101423	0.11428935888233334	HP-D	0.11524081365918273	1	False	55	HP-D	16	5	11	13	0	0	2	7	1	True
((((;°д°))))	20	-29.471528434753417	20	-28.86916666030884	20	-30.653872394561766	20	-28.64684247970581	20	-27.467197990417482	20	-26.396546363830566	20	-27.655878162384035	20	-31.530047798156737	20	-29.22819299697876	0.02379084339735389	0.043452246343940834	0.007293305084497493	0.054270821785250334	0.17655478411207928	0.515059715499828	0.1461964182168997	0.003036730405264423	0.03034513515488611	HN-S	0.515059715499828	6	True	3	HN-S	0	0	0	0	0	3	0	0	0	True
(((;°д°)))	20	-34.125458812713624	20	-33.889175987243654	20	-33.6322226524353	20	-33.50482931137085	20	-33.40708169937134	20	-31.84732141494751	20	-31.710428619384764	20	-35.77931652069092	20	-33.94488468170166	0.033164029872186904	0.04200332057488236	0.054309654547490316	0.06168836579902228	0.06802280144493913	0.3236307640356729	0.3711090832502264	0.006344625921574055	0.03972735455400544	LN	0.3711090832502264	6	True	11	HN-S	0	0	0	0	0	11	0	0	0	False
(((;꒪д꒪)))	20	-37.87778263092041	20	-37.422733306884766	20	-37.17746486663818	20	-37.31970481872558	20	-37.367107200622556	20	-35.62558841705322	20	-35.46081619262695	20	-39.61740779876709	20	-37.60075130462646	0.033091174847177676	0.05216000168577962	0.06665862130579432	0.05782056094395831	0.05514367523680091	0.3146499779104355	0.3710115017674973	0.005810353765353251	0.04365413253720293	LN	0.3710115017674973	10	True	2	HN-S	0	0	0	0	0	2	0	0	0	False
(((o(*°▽°*)o)))	20	-25.623425197601318	20	-24.818056774139404	20	-24.585040760040282	20	-24.48420648574829	20	-24.329905128479005	20	-23.400868797302245	20	-23.39615478515625	20	-26.972186660766603	20	-24.878150844573973	0.029669990269645233	0.06638721745961255	0.08380733587332384	0.09269873424865889	0.10816482006069754	0.2738806716631084	0.2751747963391098	0.007701188311987811	0.06251524577385585	LN	0.2751747963391098	9	True	3	HP-S	0	3	0	0	0	0	0	0	0	False
(((o(*ﾟ▽ﾟ	20	-24.614669609069825	20	-23.681185722351074	20	-23.355412673950195	20	-23.366909790039063	20	-23.30551528930664	20	-22.26150236129761	20	-22.21248779296875	20	-25.56373586654663	20	-23.758327960968018	0.02593397963499789	0.06595930431636343	0.09136029720147419	0.09031593235455099	0.09603458467546043	0.2727951948521744	0.2864992390025735	0.010039103388955998	0.061062364573449	LN	0.2864992390025735	6	True	5	HP-S	0	5	0	0	0	0	0	0	0	False
(((o(°▽°)o)))	20	-33.55251045227051	20	-32.58611650466919	20	-32.07528638839722	20	-32.38852224349976	20	-31.97717227935791	20	-30.882432842254637	20	-31.19527816772461	20	-33.787802600860594	20	-32.06782150268555	0.021621165904132173	0.056830132423146086	0.09471731288904933	0.06924569289274077	0.10448159283608882	0.31223320105152336	0.22835581906754657	0.017088070513774516	0.09542701242199844	HN-S	0.31223320105152336	9	True	2	HP-S	0	2	0	0	0	0	0	0	0	False
((⊂(`ω´∩)	20	-46.72019863128662	20	-46.375039672851564	20	-46.415767669677734	20	-46.026631355285645	20	-46.22580337524414	20	-45.15221271514893	20	-44.49985275268555	20	-48.41992702484131	20	-46.377859878540036	0.04346526314936251	0.06138226987670601	0.058932518342125595	0.08696705308834127	0.07126157961365506	0.20850186518542327	0.4003375032205619	0.007942544399321584	0.06120940312450283	LN	0.4003375032205619	10	False	0		0	0	0	0	0	0	0	0	0	
((✿◕‿◕))	20	-28.680819988250732	20	-28.41681842803955	20	-28.469262409210206	20	-27.752245330810545	20	-27.97641763687134	20	-27.369830417633057	20	-26.331855964660644	20	-30.49211769104004	20	-28.335448932647704	0.04192559305189145	0.05459258203539515	0.051803309241337234	0.10610945021441785	0.0848002765954764	0.15553736991909378	0.4391585355688825	0.006852398591755058	0.059220484781750564	LN	0.4391585355688825	10	False	0		0	0	0	0	0	0	0	0	0	
((・▽・))	20	-27.10019941329956	20	-26.314246559143065	20	-26.4032470703125	20	-26.17548246383667	20	-26.918098735809327	20	-25.639523124694826	20	-24.96687593460083	20	-28.524113941192628	20	-27.09480199813843	0.043628217595252934	0.09574199177270153	0.08758909260557922	0.10999347908950956	0.05234229850693079	0.18798843071241522	0.368347804322948	0.010504351560838118	0.04386433383382456	LN	0.368347804322948	5	True	1	HP-S	0	1	0	0	0	0	0	0	0	False
()	20	-12.478331470489502	20	-11.820561122894286	20	-11.67112169265747	20	-11.726821422576904	20	-13.30799446105957	20	-11.787855386734009	20	-12.57413215637207	20	-12.493445920944215	20	-12.866309404373169	0.08133215689939435	0.15701036460536494	0.18231778757177874	0.17244037423011446	0.03547678296695777	0.1622304014389496	0.07390206614962144	0.08011210944319873	0.05517795669462001	LP	0.18231778757177874	1	False	14	HN-S	0	1	0	0	5	6	1	1	0	False
(-_-;)	20	-21.909533500671387	20	-23.39732780456543	20	-22.364536571502686	20	-21.913818264007567	20	-21.138136005401613	20	-22.25718593597412	20	-21.13197135925293	20	-21.592549419403078	20	-20.30070972442627	0.070070979776542	0.01582695376725461	0.04445625421350195	0.06977138451721722	0.15154857799416308	0.04949423953670221	0.15248570691814264	0.09620610395918336	0.3501397993172929	HB	0.3501397993172929	3	False	0		0	0	0	0	0	0	0	0	0	
(-‸–)	20	-30.552431678771974	20	-31.62603168487549	20	-30.866862964630126	20	-30.214927864074706	20	-29.91254644393921	20	-30.27866659164429	20	-29.289704990386962	20	-29.463760757446288	20	-29.313334369659422	0.06008726888053664	0.02053638068261694	0.04387596610245503	0.08420899980051123	0.11394127928122995	0.07900910302225794	0.21241133945682988	0.17847863606682393	0.20745102670673843	LN	0.21241133945682988	5	False	2	HN-S	0	0	0	0	0	1	1	0	0	False
(..)	20	-11.583124589920043	20	-11.690916681289673	20	-10.551160669326782	20	-10.32203550338745	20	-11.636917018890381	20	-9.702391004562378	20	-9.467793416976928	20	-11.166868305206298	20	-10.708938074111938	0.035784419148157706	0.032127761094096804	0.10043155994450916	0.12629262890785467	0.03391034568837758	0.23468546356560982	0.29673626637151995	0.0542589992827693	0.0857725559971049	LN	0.29673626637151995	2	False	0		0	0	0	0	0	0	0	0	0	
(._.)	20	-13.195236873626708	20	-13.623171424865722	20	-13.297640705108643	20	-13.533899402618408	20	-13.337371826171875	20	-13.45134973526001	20	-13.403230905532837	20	-13.341464042663574	20	-13.352232027053834	0.13441434290456952	0.08761853735492396	0.12133111659169908	0.09580018455567055	0.1166050038766748	0.10404404080701074	0.10917292669443332	0.1161288059737951	0.11488504124122297	HP-D	0.13441434290456952	3	False	1	LN	0	0	0	0	0	0	1	0	0	False
(/≧▽≦)	20	-25.343970584869385	20	-26.13678550720215	20	-25.694485473632813	20	-24.918624019622804	20	-25.489897441864013	20	-24.92638568878174	20	-24.17964162826538	20	-25.10456829071045	20	-25.145602798461915	0.08501088968086368	0.038473297908238224	0.059875324384614764	0.13007691475024216	0.07346818865989714	0.12907120880009673	0.27235553283317754	0.10800544649218953	0.10366319649068019	LN	0.27235553283317754	7	False	1	LP	0	0	1	0	0	0	0	0	0	False
(/▽＼)	20	-23.187793064117432	20	-24.255058097839356	20	-23.51063232421875	20	-23.0492733001709	20	-23.44864740371704	20	-22.835812282562255	20	-22.63481512069702	20	-23.275194931030274	20	-22.893295097351075	0.10631434805059942	0.03656659868425015	0.07698118128564453	0.12210972394606365	0.08190384306243471	0.1511663724762256	0.18481922711348736	0.09741677135068108	0.14272193403061348	LN	0.18481922711348736	5	False	0		0	0	0	0	0	0	0	0	0	
(;'ω';)	20	-27.82934503555298	20	-28.31844882965088	20	-27.631609439849854	20	-28.21128559112549	20	-28.484498596191408	20	-28.413916015625	20	-28.42622661590576	20	-28.03188524246216	20	-28.225677490234375	0.150806338062118	0.09247077884043904	0.1837786565566925	0.10293069819398423	0.07832312702128613	0.08405114681574678	0.08302276970154233	0.12315654594184659	0.10145993886634444	LP	0.1837786565566925	5	False	1	HN-S	0	0	0	0	0	1	0	0	0	False
(;;)	20	-15.975940465927124	20	-16.63240976333618	20	-16.140879917144776	20	-16.291861915588377	20	-16.20706191062927	20	-16.358218145370483	20	-16.719893074035646	20	-16.449025201797486	20	-16.00500831604004	0.1505718091994068	0.07809849687670886	0.12767661946311032	0.10978442369064925	0.11950027387745064	0.10273598329898513	0.07155651090415814	0.09381787210790296	0.146258010581628	HP-D	0.1505718091994068	3	False	6	LN	0	0	0	0	0	0	6	0	0	False
(;;_;;)	20	-21.572072887420653	20	-22.20784912109375	20	-21.729308605194092	20	-21.886742401123048	20	-21.764315128326416	20	-21.862513923645018	20	-22.222948169708253	20	-22.15950174331665	20	-21.631111335754394	0.1490954777700182	0.07894967762846615	0.127402475433855	0.10884418644919304	0.12301971784703662	0.11151352175641668	0.07776656700741615	0.0828604639000108	0.1405479122075874	HP-D	0.1490954777700182	5	False	2	HN-S	0	0	0	0	0	2	0	0	0	False
(;_;)	20	-15.004762887954712	20	-17.05204544067383	20	-15.16419939994812	20	-15.35476188659668	20	-14.652997684478759	20	-14.125208759307862	20	-13.627925062179566	20	-15.334892511367798	20	-14.632772970199586	0.07905389028307874	0.010204688001240785	0.06740325182346171	0.05570839071243205	0.11238101065795976	0.19050604074920527	0.31323935199454983	0.05682635144157644	0.11467702433649545	LN	0.31323935199454983	3	False	4	LN	0	0	0	0	1	1	2	0	0	True
(;`ﾉωﾉ´)	20	-32.65102291107178	20	-34.713360977172854	20	-33.12862548828125	20	-32.445752429962155	20	-31.836332416534425	20	-31.3013277053833	20	-30.962744808197023	20	-32.76743612289429	20	-32.10666027069092	0.058432436027394875	0.007430053661493383	0.03624380861439125	0.07174668332874493	0.13196828672207112	0.22533008075846286	0.3161286496724839	0.05201114046026226	0.1007088607546955	LN	0.3161286496724839	7	False	1	LP	0	0	1	0	0	0	0	0	0	False
(;¬_¬)	20	-16.335182666778564	20	-17.917821311950682	20	-16.74007377624512	20	-16.030269384384155	20	-15.3570387840271	20	-14.736767530441284	20	-14.314128589630126	20	-16.558382320404053	20	-15.19567518234253	0.04483269126000013	0.009210083751456967	0.029905621700606233	0.06081587587956404	0.11923322770308536	0.2217061209217476	0.33831982167737745	0.03586414089036241	0.1401124162157998	LN	0.33831982167737745	5	False	0		0	0	0	0	0	0	0	0	0	
(;´д`)	20	-22.624053382873534	20	-24.089468574523927	20	-23.031754112243654	20	-22.890829181671144	20	-21.969313049316405	20	-21.270210933685302	20	-20.989152336120604	20	-22.917812442779542	20	-22.11613712310791	0.06251893255291098	0.014440752438944913	0.04158621334436462	0.04787979661721837	0.12032660635977604	0.24209056239042906	0.3206565069766262	0.04660511839076411	0.10389551092896569	LN	0.3206565069766262	4	True	43	LN	0	0	0	0	4	8	27	0	4	True
(;´д`ｿ)	20	-35.82689437866211	20	-37.25488719940186	20	-35.96426506042481	20	-35.89943313598633	20	-35.42726497650146	20	-34.162325859069824	20	-34.42533912658691	20	-36.2244909286499	20	-35.95447330474853	0.06480965299298595	0.01554068987516345	0.05649114365756825	0.060274902162518795	0.09664881650009864	0.3424148719635536	0.26322516597326506	0.04354774873740148	0.0570470081374449	HN-S	0.3424148719635536	7	False	0		0	0	0	0	0	0	0	0	0	
(;´༎ຶд༎ຶ`)	20	-22.984593391418457	20	-24.267159366607665	20	-23.450126552581786	20	-23.05733470916748	20	-21.87297601699829	20	-21.17554292678833	20	-20.688329124450682	20	-23.314339637756348	20	-22.017430210113524	0.039579736765902006	0.010976441719293194	0.024848170505026634	0.036802875169122264	0.12029350889626463	0.2416203648480153	0.39330349133868236	0.028462033552969515	0.10411337720472395	LN	0.39330349133868236	12	False	12	LN	0	0	0	0	0	5	7	0	0	True
(;´∀`)	20	-19.731086635589598	20	-21.286333274841308	20	-19.894356536865235	20	-20.04354581832886	20	-20.114176273345947	20	-19.09478340148926	20	-18.3510781288147	20	-19.955181884765626	20	-19.71836462020874	0.08968322558320233	0.018935474236992354	0.07617351610017725	0.06561632771511597	0.06114169920182498	0.16945492799332065	0.35648503185467206	0.07167833188050704	0.09083146543418734	LN	0.35648503185467206	4	False	2	LN	0	0	0	0	0	0	2	0	0	True
(;´▽`A)	20	-17.945912075042724	20	-19.28847646713257	20	-18.21978349685669	20	-18.40877799987793	20	-18.767863082885743	20	-17.70404953956604	20	-16.755426263809206	20	-18.117001819610596	20	-18.096503353118898	0.10688445014527309	0.027915552022004762	0.08127812571421204	0.06728130559855418	0.04698354048447065	0.13613007755493137	0.3515085927835534	0.09007643621749156	0.09194191947950892	LN	0.3515085927835534	6	False	1	NP	0	0	0	1	0	0	0	0	0	False
(;´ヮ`)	20	-27.060167694091795	20	-28.809324741363525	20	-27.104838943481447	20	-27.281091499328614	20	-27.49345464706421	20	-26.24637613296509	20	-25.321495628356935	20	-26.830334854125976	20	-27.2306921005249	0.07337711847743181	0.012761784284942089	0.07017140558946967	0.05883214236536713	0.04757584605758117	0.1655715968745162	0.41749986268407974	0.09233700569712949	0.06187323796948256	LN	0.41749986268407974	5	True	1	LN	0	0	0	0	0	0	1	0	0	True
(;´꒳`)	20	-20.57925157546997	20	-22.151672077178954	20	-20.605672073364257	20	-20.80384874343872	20	-20.43736515045166	20	-19.70901460647583	20	-19.063137149810792	20	-20.385899829864503	20	-19.909764671325682	0.07021847517187796	0.014573298053428682	0.06838756142626652	0.05609318286147702	0.0809229834306768	0.16764496245718555	0.3198096199692185	0.08519674263307735	0.13715317399679164	LN	0.3198096199692185	6	False	1	LN	0	0	0	0	0	0	1	0	0	True
(;ω;)	20	-17.210942268371582	20	-18.727358245849608	20	-17.49654893875122	20	-17.248232460021974	20	-17.155451488494872	20	-16.31546530723572	20	-15.231276941299438	20	-17.662222576141357	20	-16.64821171760559	0.06221766570286656	0.013656601026977763	0.04676019484711321	0.059940282941280544	0.06576776033941541	0.1523401630232963	0.4504757745453321	0.03962097565039236	0.10922058192332587	LN	0.4504757745453321	3	False	47	LN	0	2	0	1	0	7	37	0	0	True
(;д;)	20	-24.070627212524414	20	-25.693539333343505	20	-23.97662982940674	20	-24.095694828033448	20	-23.763941764831543	20	-22.935703659057616	20	-22.41189603805542	20	-24.01700105667114	20	-23.66484680175781	0.06431208015040715	0.012690267542968764	0.07065047754520828	0.0627199682478964	0.08739455080879026	0.20007074695351218	0.33780832869500294	0.06785503838011153	0.0964985416761025	LN	0.33780832869500294	3	False	1	HN-S	0	0	0	0	0	1	0	0	0	False
(;′⌒`)	20	-19.02785406112671	20	-20.655531024932863	20	-19.97093734741211	20	-19.28484344482422	20	-18.362973403930663	20	-17.992653942108156	20	-17.15350251197815	20	-19.161382961273194	20	-17.818413162231444	0.05598377058049322	0.010994387044256471	0.021801495129903203	0.04329652830029214	0.10884692037061801	0.15763180362054818	0.36482339486982207	0.0489859213541126	0.18763577872995424	LN	0.36482339486982207	6	False	23	HN-S	0	0	0	0	4	14	5	0	0	False
(;⁎_⁎)	20	-28.348545455932616	20	-29.423771572113036	20	-28.555626773834227	20	-27.799686622619628	20	-27.21561727523804	20	-26.778633975982665	20	-25.822136688232423	20	-27.982674407958985	20	-27.360690212249757	0.03517145220723648	0.012001223711314441	0.028592756565577977	0.0608914986677591	0.10919801848524732	0.16904183297053982	0.4399422658880832	0.05070912043653209	0.09445183106770941	LN	0.4399422658880832	7	False	1	HN-S	0	0	0	0	0	1	0	0	0	False
(;⌒_⌒)	20	-20.922535705566407	20	-22.613730716705323	20	-21.306938552856444	20	-20.908279705047608	20	-21.14157724380493	20	-19.893166542053223	20	-19.389848709106445	20	-21.023096656799318	20	-20.175928020477294	0.07078711251835246	0.013046004866694617	0.04819590747354375	0.0718034810933131	0.056862462835775965	0.19815432000056898	0.32778698256788685	0.06401490880575743	0.14934881983810697	LN	0.32778698256788685	9	False	0		0	0	0	0	0	0	0	0	0	
