first_word	n_prompts_HP-D	mean_log_prob_HP-D	n_prompts_HP-S	mean_log_prob_HP-S	n_prompts_LP	mean_log_prob_LP	n_prompts_NP	mean_log_prob_NP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	n_prompts_HB	mean_log_prob_HB	softmax_HP-D	softmax_HP-S	softmax_LP	softmax_NP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	softmax_HB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP-D	total_emit_HP-S	total_emit_LP	total_emit_NP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	total_emit_HB	argmax_matches_empirical
(	20	-7.3525266408920285	20	-6.861328673362732	20	-7.931740188598633	20	-7.136075854301453	20	-6.358532738685608	20	-7.279456639289856	20	-7.145783281326294	20	-7.289913940429687	20	-7.376728820800781	0.08707423272181693	0.1423030547802796	0.04879107744076969	0.1081167639846509	0.23527496799828185	0.09367496828563057	0.10707230608946001	0.09270048504573158	0.08499214365337897	HN-D	0.23527496799828185	2	False	55	HP-D	16	5	11	13	0	0	2	7	1	False
((((;°д°))))	20	-29.617674827575684	20	-29.207009315490723	20	-32.14675750732422	20	-30.42238998413086	20	-28.744058036804198	20	-29.128397369384764	20	-30.76296043395996	20	-31.951333713531493	20	-30.214977836608888	0.12458214777543161	0.18784756921280726	0.00993319958404504	0.05571504193967636	0.2984439403221255	0.20321057933358613	0.03963369789805636	0.012077043677257588	0.06855678025701412	HN-D	0.2984439403221255	13	True	3	HN-S	0	0	0	0	0	3	0	0	0	False
(((;°д°)))	20	-29.43411684036255	20	-29.079708099365234	20	-31.593533420562743	20	-30.176102066040038	20	-28.45372428894043	20	-28.737286376953126	20	-30.278922080993652	20	-31.366045188903808	20	-29.91246681213379	0.11256070366242218	0.16043701012016853	0.012988652400881559	0.05359776870392199	0.30003082388205987	0.22595212208304266	0.04836069628512947	0.01630650838738561	0.06976571447498826	HN-D	0.30003082388205987	11	True	11	HN-S	0	0	0	0	0	11	0	0	0	False
(((;꒪д꒪)))	20	-50.97786102294922	20	-52.56248931884765	20	-55.257328796386716	20	-52.72291717529297	20	-48.58487186431885	20	-49.66432209014893	20	-51.31330757141113	20	-53.29904079437256	20	-51.077748680114745	0.05625213678058846	0.011533037371954278	0.0007790938652203829	0.009823602173631672	0.6157451658908579	0.20921929502564646	0.04022133109355793	0.005521581131557525	0.050904756666985344	HN-D	0.6157451658908579	11	True	2	HN-S	0	0	0	0	0	2	0	0	0	False
(((o(*°▽°*)o)))	20	-36.92628498077393	20	-33.7949236869812	20	-38.354969596862794	20	-36.92375183105469	20	-38.06761837005615	20	-39.35116958618164	20	-39.24131469726562	20	-38.80076732635498	20	-38.607662773132326	0.03847116304735239	0.8811873352658472	0.009218610606715803	0.03856873979930765	0.012287414898687895	0.0034042489530467105	0.0037995370577217492	0.00590279875273256	0.007160151618588061	HP-S	0.8811873352658472	15	True	3	HP-S	0	3	0	0	0	0	0	0	0	True
(((o(*ﾟ▽ﾟ	20	-32.374083805084226	20	-30.327561378479004	20	-33.920852947235105	20	-32.67656850814819	20	-32.897808933258055	20	-34.64837045669556	20	-34.66029090881348	20	-35.03650770187378	20	-33.935217666625974	0.09285604956458238	0.7187926046937083	0.019772286740557934	0.06861874422094978	0.05499956695584287	0.009552126388922654	0.009438936700136668	0.00647939112044834	0.019490293614850936	HP-S	0.7187926046937083	9	True	5	HP-S	0	5	0	0	0	0	0	0	0	True
(((o(°▽°)o)))	20	-36.54422035217285	20	-35.09724283218384	20	-38.07399024963379	20	-36.65266666412354	20	-36.00865478515625	20	-36.89063663482666	20	-37.437909317016604	20	-39.095676231384275	20	-36.75626468658447	0.09924835133875183	0.4218301851627643	0.021495753645616966	0.08904830686806381	0.16955729193902547	0.07019022284214411	0.04060683261219517	0.0077382025273366895	0.08028485306410159	HP-S	0.4218301851627643	14	True	2	HP-S	0	2	0	0	0	0	0	0	0	True
((⊂(`ω´∩)	20	-39.95194759368896	20	-40.80923271179199	20	-42.09486618041992	20	-41.13250522613525	20	-39.218309211730954	20	-40.8254415512085	20	-40.83806438446045	20	-42.66622467041016	20	-41.26000499725342	0.19616622394037692	0.0832357766354645	0.0230126437791213	0.06024410641180067	0.40854446715450654	0.08189749658152153	0.08087021537828293	0.01299656776362621	0.05303250235529928	HN-D	0.40854446715450654	11	False	0		0	0	0	0	0	0	0	0	0	
((✿◕‿◕))	20	-49.71265811920166	20	-49.78011417388916	20	-52.165822982788086	20	-49.96294345855713	20	-49.46325550079346	20	-50.87567081451416	20	-50.7232006072998	20	-49.91694736480713	20	-50.536172485351564	0.16629791279741338	0.15545010012545807	0.014305097920982416	0.12947599484147446	0.21340322552980953	0.05197527579235859	0.060536007131287754	0.13557047145851164	0.0729859144027043	HN-D	0.21340322552980953	8	False	0		0	0	0	0	0	0	0	0	0	
((・▽・))	20	-30.784156131744385	20	-30.016353130340576	20	-32.235356998443606	20	-30.519934558868407	20	-31.120967864990234	20	-31.670969581604005	20	-32.22838497161865	20	-31.12775287628174	20	-31.950866794586183	0.14135726194913262	0.30462863966158427	0.03311841896381377	0.18410606492718062	0.10093519984370428	0.058234444444406626	0.03335012827238826	0.10025267147283182	0.044017170464957796	HP-S	0.30462863966158427	8	True	1	HP-S	0	1	0	0	0	0	0	0	0	True
()	20	-14.96628155708313	20	-14.632341051101685	20	-16.161203861236572	20	-15.061403799057008	20	-14.194372463226319	20	-15.078394079208374	20	-15.506567192077636	20	-15.228658676147461	20	-15.13078818321228	0.11278533161737365	0.15750021096680192	0.03414321853753919	0.10255139112713937	0.24405543341366348	0.10082373252382766	0.06570668408442559	0.08675683216671125	0.09567716556251785	HN-D	0.24405543341366348	3	False	14	HN-S	0	1	0	0	5	6	1	1	0	False
(-_-;)	20	-17.182617950439454	20	-18.160943603515626	20	-18.750500679016113	20	-17.628092193603514	20	-14.49113621711731	20	-16.554243564605713	20	-16.056212377548217	20	-18.666886615753175	20	-16.46730194091797	0.04130681872125641	0.01552888651270448	0.008611899071998535	0.02645786176642502	0.6094209974332861	0.07743214267135339	0.12741292134688018	0.009362936062896492	0.08446553641319937	HN-D	0.6094209974332861	7	False	0		0	0	0	0	0	0	0	0	0	
(-‸–)	20	-41.928406715393066	20	-44.57458095550537	20	-43.35118103027344	20	-42.84401321411133	20	-40.00748291015625	20	-42.86001605987549	20	-42.46828346252441	20	-43.31229515075684	20	-41.74112949371338	0.09113439270023752	0.006463435708289405	0.021967430948533644	0.03647870848466176	0.622198432487278	0.03589959145817197	0.05311495424428216	0.022838479814827697	0.10990457415371788	HN-D	0.622198432487278	6	False	2	HN-S	0	0	0	0	0	1	1	0	0	False
(..)	20	-16.80144867897034	20	-16.98541626930237	20	-17.563884115219118	20	-16.34418592453003	20	-15.080120134353638	20	-16.305072450637816	20	-15.856596565246582	20	-17.166071891784668	20	-16.309035778045654	0.062437186292197105	0.05194541427302264	0.02912874816010483	0.09863476508045496	0.3491457918501574	0.10256915565340566	0.1606154736332287	0.043360020036714145	0.10216344502071464	HN-D	0.3491457918501574	5	False	0		0	0	0	0	0	0	0	0	0	
(._.)	20	-19.17583703994751	20	-19.036632537841797	20	-20.08073263168335	20	-18.794040966033936	20	-17.392014932632446	20	-18.461874866485594	20	-18.124180698394774	20	-19.663655281066895	20	-18.430624961853027	0.056828746381472624	0.06531663806425098	0.022992008619597236	0.08324918756895879	0.338276768889689	0.11604806624123783	0.1626659379762285	0.034890830379665214	0.11973181587889982	HN-D	0.338276768889689	5	False	1	LN	0	0	0	0	0	0	1	0	0	False
(/≧▽≦)	20	-27.534975051879883	20	-25.3573468208313	20	-28.6908239364624	20	-26.89083948135376	20	-27.488767051696776	20	-29.09796953201294	20	-28.348855018615723	20	-28.8239857673645	20	-29.172843551635744	0.0703514275813741	0.6208759521326721	0.02214594016276076	0.13397304814002134	0.07367850314318604	0.01473917029426483	0.031175206304656058	0.019384860221158925	0.01367589201990579	HP-S	0.6208759521326721	7	False	1	LP	0	0	1	0	0	0	0	0	0	False
(/▽＼)	20	-28.007798194885254	20	-28.02520637512207	20	-29.041218948364257	20	-28.59514331817627	20	-27.26693515777588	20	-28.987079238891603	20	-28.448335266113283	20	-29.353802585601805	20	-28.61760492324829	0.14673337635512768	0.14420112022690898	0.05220594723700993	0.0815545441956263	0.3078092308529398	0.055110272338854405	0.09445089807697601	0.03819149255804277	0.07974311815851405	HN-D	0.3078092308529398	6	False	0		0	0	0	0	0	0	0	0	0	
(;'ω';)	20	-32.08557233810425	20	-32.68329429626465	20	-33.84793787002563	20	-32.60774698257446	20	-31.568855571746827	20	-33.04277639389038	20	-32.77161340713501	20	-34.70370502471924	20	-33.33089427947998	0.19084833594960332	0.104978661095238	0.0327568967624992	0.11321678311692564	0.3199599482870399	0.07327906816630457	0.09610467778066974	0.013920274483929934	0.05493535435778978	HN-D	0.3199599482870399	7	False	1	HN-S	0	0	0	0	0	1	0	0	0	False
(;;)	20	-23.10775718688965	20	-22.474858951568603	20	-24.547349452972412	20	-22.85455665588379	20	-21.900501918792724	20	-22.967246437072752	20	-22.72386999130249	20	-24.72277936935425	20	-23.497598552703856	0.08890935095045861	0.16742166284411725	0.021073683950802467	0.11452783032174828	0.29733890726102047	0.10232234464660069	0.13051713458165232	0.017682848165490827	0.06020623727810922	HN-D	0.29733890726102047	5	False	6	LN	0	0	0	0	0	0	6	0	0	False
(;;_;;)	20	-33.84982557296753	20	-33.23580503463745	20	-36.05614967346192	20	-33.58668985366821	20	-32.29454545974731	20	-33.082090854644775	20	-34.02033023834228	20	-36.57806205749512	20	-34.02865591049194	0.07754903213801911	0.14329865478485243	0.008538508198802827	0.10089154503462533	0.3673042494833852	0.16710880502779643	0.06539238037709996	0.0050666199792873175	0.06485020497613155	HN-D	0.3673042494833852	8	False	2	HN-S	0	0	0	0	0	2	0	0	0	False
(;_;)	20	-16.45470495223999	20	-15.910866689682006	20	-17.01423101425171	20	-15.381442260742187	20	-14.423097038269043	20	-14.976143074035644	20	-14.510980987548828	20	-17.099372148513794	20	-16.21896438598633	0.03702694243531844	0.06378283333366919	0.021160151349132548	0.10830036378817409	0.2823800152404201	0.16242359389602828	0.2586225819211416	0.01943311608192204	0.046870401954193716	HN-D	0.2823800152404201	6	False	4	LN	0	0	0	0	1	1	2	0	0	False
(;`ﾉωﾉ´)	20	-52.64618911743164	20	-55.014130401611325	20	-55.92246360778809	20	-53.9179027557373	20	-52.189984512329104	20	-54.1210298538208	20	-54.450628471374515	20	-57.96042098999023	20	-54.57454376220703	0.2830010179620474	0.026509660414249365	0.010688581309675755	0.07933955897269501	0.44659632019742135	0.06475492492381484	0.04657254203408487	0.0013926642262306903	0.041144729959780676	HN-D	0.44659632019742135	10	False	1	LP	0	0	1	0	0	0	0	0	0	False
