concept	n_mirror_layers	n_self_event_layers	n_shared_layers	stack_cosine	mean_layer_cos	min_layer_cos	max_layer_cos	mirror_norm	self_event_norm
q_hpd	56	58	54	0.9944703578948975	0.9892760713895162	0.9105582237243652	0.9998551607131958	1745.72021484375	1723.888671875
q_hps	56	58	54	0.9971712231636047	0.9949245199009225	0.9651073217391968	0.9999027252197266	1736.1573486328125	1710.8328857421875
q_lp	56	58	54	0.9968886971473694	0.9937990440262688	0.9463733434677124	0.9998509883880615	1744.261962890625	1720.99755859375
q_np	56	58	54	0.9973499774932861	0.9958522529513748	0.9741379618644714	0.9998598098754883	1744.3631591796875	1718.7763671875
q_hnd	56	58	54	0.9945949912071228	0.9924431432176519	0.9697306156158447	0.9997877478599548	1747.1051025390625	1709.2845458984375
q_hns	56	58	54	0.993857204914093	0.9914352628919814	0.9604138135910034	0.9997941851615906	1734.2496337890625	1700.1025390625
q_ln	56	58	54	0.9947243332862854	0.9920853056289531	0.9590308666229248	0.9998497366905212	1737.7490234375	1708.3133544921875
q_nb	56	58	54	0.9971005320549011	0.9944123813399562	0.9578494429588318	0.9998171329498291	1735.5595703125	1713.484375
q_hb	56	58	54	0.9949979782104492	0.9927774469057719	0.9557026624679565	0.9997761249542236	1741.38134765625	1726.6712646484375
hpd.nb	56	58	54	0.522337019443512	0.4861859232187271	0.08679540455341339	0.5949850082397461	171.4784698486328	191.85284423828125
hps.nb	56	58	54	0.7067591547966003	0.5322800499421579	0.15088656544685364	0.7858626842498779	202.95970153808594	194.60980224609375
lp.nb	56	58	54	0.5522978901863098	0.4432573568213869	0.11427029967308044	0.6517883539199829	125.85798645019531	136.02438354492188
np.nb	56	58	54	0.6640403866767883	0.45454333927396134	-0.45570650696754456	0.7411834597587585	155.1012725830078	146.02305603027344
hnd.nb	56	58	54	0.7002602219581604	0.6339666512277391	0.29440152645111084	0.8457505702972412	237.1148223876953	227.2468719482422
hns.nb	56	58	54	0.6376777291297913	0.584751593845862	0.3192010521888733	0.7947391867637634	211.8020477294922	205.84336853027344
ln.nb	56	58	54	0.6706821918487549	0.580811412246139	0.2542397379875183	0.7883554697036743	200.64376831054688	224.46182250976562
hb.nb	56	58	54	0.580387532711029	0.5007663263801347	-0.011996871791779995	0.7137342691421509	169.15782165527344	183.3718719482422
hp.ln	56	58	54	0.7124630212783813	0.458566914104503	-0.029415570199489594	0.8221781849861145	196.10443115234375	211.67626953125
hp.lp	56	58	54	0.5015314221382141	0.4066965210217017	0.15105949342250824	0.6411229968070984	144.31890869140625	108.5560302734375
hnd.hns	56	58	54	0.5737594962120056	0.4424412062874547	0.11220896244049072	0.8062858581542969	136.0139923095703	170.98513793945312
