first_word	n	mean_cos_to_other_face_means	distinctiveness	median_within_consistency	classifier_recall	dominant_quadrant
(≧‿≦)	103	-0.025022977963089943	1.0250229835510254	0.9954431653022766	0.20388349514563106	HP
(✿◠‿◠)	89	-0.05114564672112465	1.0511456727981567	0.9954379796981812	0.33707865168539325	HP
(＾‿＾)	81	-0.037901315838098526	1.0379012823104858	0.9961519837379456	0.2716049382716049	HP
(・_・)	79	0.0024437562096863985	0.9975562691688538	0.995952844619751	0.12658227848101267	HN
(ᵔᴥᵔ)	70	-0.01273356843739748	1.0127335786819458	0.9961099624633789	0.14285714285714285	HN
(・̀‿・́)	62	-0.013668987900018692	1.0136690139770508	0.9956023693084717	0.04838709677419355	HP
(´ω`)	59	-0.012646112591028214	1.0126460790634155	0.9966475367546082	0.06779661016949153	HN
(╯°□°)	51	-0.008219788782298565	1.008219838142395	0.9965103268623352	0.29411764705882354	HN
(・̀ω・́)	49	-0.006454968824982643	1.0064549446105957	0.9963531494140625	0.061224489795918366	HP
(◕‿◕✿)	48	-0.03682557865977287	1.0368255376815796	0.9959598779678345	0.041666666666666664	HP
(・‿・)	46	-0.043307315558195114	1.0433073043823242	0.9966036677360535	0.15217391304347827	NP
(=^-ω-^=)	34	9.047643834492192e-05	0.999909520149231	0.9959309101104736	0.029411764705882353	HP
(ﾟдﾟ)	34	-0.009593669325113297	1.0095937252044678	0.996344804763794	0.029411764705882353	HN
(˘³˘)	32	-0.018296638503670692	1.0182965993881226	0.9961475133895874	0.03125	LN
(╥﹏╥)	29	0.008438125252723694	0.9915618896484375	0.9963645339012146	0.034482758620689655	HN
(^-^)	28	-0.03728889301419258	1.0372889041900635	0.9958717823028564	0.10714285714285714	NB
(⁀ᗜ⁀)	25	-0.011568568646907806	1.011568546295166	0.9960796236991882	0.0	HN
(´艸`)	25	-0.011053331196308136	1.0110533237457275	0.9968240261077881	0.0	HN
(✿╹‿╹)	23	-0.02191508561372757	1.021915078163147	0.9957952499389648	0.0	NB
(^▽^)	22	-0.05364980176091194	1.0536497831344604	0.9957888126373291	0.0	HP
(^_^)	22	-0.056894317269325256	1.056894302368164	0.9959604740142822	0.045454545454545456	NB
(⌒‿⌒)	21	-0.015193037688732147	1.015192985534668	0.9955469965934753	0.09523809523809523	LP
(╥_╥)	19	-0.0048173232935369015	1.0048173666000366	0.9966192245483398	0.0	HN
(≧▽≦)	18	-0.04776013270020485	1.0477601289749146	0.9956257939338684	0.0	HP
(≧ω≦)	15	-0.025883181020617485	1.0258831977844238	0.9966649413108826	0.0	NP
(ﾟ∀ﾟ)	15	-0.002169341780245304	1.0021693706512451	0.993523120880127	0.0	HP
(๑˃‿˂)	13	-0.03854164853692055	1.0385416746139526	0.9961742162704468	0.0	HP
(ᵒ̌ᴥᵒ̌)	12	-0.0032645140308886766	1.0032645463943481	0.9972019195556641	0.0	LN
(=^-^=)	10	0.0020574405789375305	0.9979425668716431	0.9959408044815063	0.0	HP
(⁄	10	-0.020121678709983826	1.020121693611145	0.9966451525688171	0.0	HP
(=^・ω・^=)	10	-0.0030684343073517084	1.003068447113037	0.9953655004501343	0.0	NB
(ﾉ◕ヮ◕)	9	-0.04655030742287636	1.0465502738952637	0.9970679879188538	0.0	HP
(✿◕‿◕)	8	0.008230849169194698	0.9917691349983215	0.9955477714538574	0.0	HP
(ᵔㅂᵔ)	8	-0.01614881493151188	1.0161488056182861	0.9971233606338501	0.0	HN
(⁎˃‿˂⁎)	7	-0.025389425456523895	1.0253894329071045	0.9965710639953613	0.0	NP
(◕‿◕)	7	-0.013626370579004288	1.0136263370513916	0.9934986233711243	0.0	HP
(ᵔㅅᵔ)	7	0.005002493970096111	0.994997501373291	0.9962280988693237	0.0	HP
(´▽`)	7	-0.02495681680738926	1.0249568223953247	0.996089518070221	0.0	HP
(ᵔ‿ᵔ)	6	-0.01271846517920494	1.0127184391021729	0.9967038035392761	0.0	HN
(＾∇＾)	6	-0.005792338401079178	1.0057923793792725	0.9956289529800415	0.0	NP
(¬‿¬)	6	0.009343517012894154	0.9906564950942993	0.9964898824691772	0.0	HP
(ﾟ‿ﾟ)	5	-0.01880759745836258	1.0188076496124268	0.9968716502189636	0.0	HP
(>_<)	5	-0.012119204737246037	1.012119174003601	0.9986106753349304	0.0	HN
(⌒_⌒;)	5	-0.017459914088249207	1.0174598693847656	0.9953562617301941	0.0	LN
(´∇`)	5	-0.040452223271131516	1.040452241897583	0.995602011680603	0.0	HB
(⊙_☉;)	5	0.009217839688062668	0.9907821416854858	0.9961265325546265	0.0	HN
(ᵔㅜᵔ)	5	0.012819844298064709	0.9871801733970642	0.9960806965827942	0.0	HP
(☞ﾟヮﾟ)	5	0.0026815144810825586	0.9973185062408447	0.9958299398422241	0.0	HN
(ﾟ◕‿ﾟ)	5	-0.00023180928837973624	1.0002318620681763	0.9966182708740234	0.0	HB
