layer	pc1_var	pc2_var	silhouette	between_centroid_std_pc1	between_centroid_std_pc2
2	0.3243354260921478	0.15802869200706482	-0.19531193375587463	1.912301298975244	2.4469591317237644
3	0.23094584047794342	0.1505616456270218	-0.20183850824832916	1.5717473610376784	2.950671082103097
4	0.16980932652950287	0.13901512324810028	-0.16272908449172974	2.174061227315811	4.899238794721365
5	0.14754144847393036	0.12176371365785599	-0.13491429388523102	3.9369830570710884	5.591114334057435
6	0.13877879083156586	0.11266924440860748	-0.06554154306650162	7.144383537189349	7.704353281080017
7	0.12079669535160065	0.09711205959320068	-0.06688637286424637	7.164123439163885	10.861559505722866
8	0.11567582190036774	0.10882829874753952	-0.04357920214533806	6.767885673202236	14.639003092039875
9	0.3123854100704193	0.07644204050302505	-0.22041134536266327	31.010854562913075	9.95283812476271
10	0.2580488324165344	0.07430972158908844	-0.05445772036910057	35.878794682588136	20.060486923117463
11	0.24494025111198425	0.08515826612710953	-0.044152118265628815	47.30393532760348	26.615063797344465
12	0.224031463265419	0.11627087742090225	-0.01879219338297844	56.167009233253445	38.471776739730245
13	0.2195776253938675	0.13194258511066437	-0.014363466762006283	91.84947378680529	62.882460225142864
14	0.19679877161979675	0.1444694697856903	-0.00823485292494297	100.47737492167585	73.81820129072966
15	0.18503233790397644	0.13653020560741425	-0.007065765559673309	128.66788623762645	86.22174172225596
16	0.20980149507522583	0.11527694016695023	-0.061669185757637024	171.56815527947276	107.05687859935443
17	0.16852222383022308	0.14724671840667725	-0.04212149977684021	211.42036883504719	145.44009280397174
18	0.15019869804382324	0.13969279825687408	-0.04750596359372139	222.66228426263393	189.2729799023386
19	0.14373886585235596	0.10880105942487717	-0.07326976954936981	204.23598992852104	264.0580052878985
20	0.1388687938451767	0.11936207115650177	-0.038715001195669174	245.65839781225765	361.47493840988534
21	0.16240911185741425	0.09366987645626068	-0.07738946378231049	474.16156954993414	482.56632784911034
