face	n_total	n_quadrants	quadrants	per_quadrant_n	classifier_acc	classifier_std	majority_acc	null_q95	separates	fig
ಥ_ಥ	343	9	HB,HN-D,HN-S,HP-D,HP-S,LN,LP,NB,NP	HB:78; HN-D:101; HN-S:76; HP-D:49; HP-S:3; LN:19; LP:8; NB:6; NP:3	0.9708365115687769	0.01096141658571468	0.2944606413994169	0.2886765827612509	True	
ಥ﹏ಥ	157	6	HB,HN-D,HN-S,HP-D,LN,NP	HB:20; HN-D:54; HN-S:53; HP-D:10; LN:17; NP:3	0.9873004354136429	0.008981169915692788	0.34394904458598724	0.4327890662796324	True	
^_^	95	4	HP-D,LP,NB,NP	HP-D:15; LP:37; NB:26; NP:17	0.9894736842105264	0.02105263157894739	0.3894736842105263	0.40578947368421053	True	
(^_^)	46	4	HP-S,LP,NB,NP	HP-S:4; LP:4; NB:20; NP:18	0.9772727272727273	0.03936479108111086	0.43478260869565216	0.47064393939393934	True	
(⌒▽⌒)	42	4	HP-D,LP,NB,NP	HP-D:7; LP:7; NB:10; NP:18	0.9083333333333332	0.08407081083567532	0.42857142857142855	0.4725	True	
(o_o)	39	4	HB,HP-D,LN,NB	HB:10; HP-D:3; LN:4; NB:22	0.923076923076923	0.10878565864408422	0.5641025641025641	0.5525641025641024	True	
(๑・̀ㅁ・́๑)	23	4	HP-D,LN,LP,NP	HP-D:4; LN:3; LP:13; NP:3	0.6547619047619048	0.11040022018447265	0.5652173913043478	0.5883928571428569	True	
(^-^)	16	2	LP,NB	LP:13; NB:3	0.8111111111111112	0.01571348402636772	0.8125	0.8111111111111112	False	
(⌐■_■)	15	3	HP-D,NB,NP	HP-D:5; NB:4; NP:6	0.9375	0.10825317547305482	0.4	0.5479166666666663	True	
ಠ_ಠ	14	2	HB,HP-D	HB:4; HP-D:10	0.7708333333333333	0.13661330258962504	0.7142857142857143	0.7083333333333333	True	
(^‿^)	12	2	LP,NP	LP:8; NP:4	0.6666666666666666	0.0	0.6666666666666666	0.7499999999999999	False	
(´・ω・`)	11	2	HN-S,LN	HN-S:3; LN:8	0.7222222222222222	0.039283710065919325	0.7272727272727273	0.7222222222222222	False	
(o^^o)	10	2	LP,NB	LP:3; NB:7	0.6944444444444443	0.039283710065919325	0.7	0.6944444444444443	False	
(◕‿◕)	7	2	HP-S,NP	HP-S:4; NP:3	0.5555555555555555	0.0785674201318386	0.5714285714285714	0.6666666666666666	False	
(^o^)	6	2	HP-S,NP	HP-S:3; NP:3	0.8333333333333334	0.23570226039551584	0.5	0.8333333333333334	False	
(°◇°)	6	2	LP,NB	LP:3; NB:3	1.0	0.0	0.5	1.0	False	
(⌯˃᷄	6	2	LN,NP	LN:3; NP:3	0.8333333333333334	0.23570226039551584	0.5	0.8333333333333334	False	
(｡・́︿・̀｡)	6	2	HB,LN	HB:3; LN:3	0.8333333333333334	0.23570226039551584	0.5	0.8333333333333334	False	
