first_word	n	mean_cos_to_other_face_means	distinctiveness	median_within_consistency	classifier_recall	dominant_quadrant
(ﾉ◕ヮ◕)	553	-0.19748394191265106	1.1974838972091675	0.9745809435844421	0.9330922242314648	HP
(◕‿◕✿)	139	-0.06074994429945946	1.060749888420105	0.9742302894592285	0.2014388489208633	NB
(￣▽￣)	135	-0.20826970040798187	1.208269715309143	0.9734350442886353	0.02962962962962963	HP
(︿︿)	50	0.10466203093528748	0.8953379392623901	0.981281042098999	0.06	HN
:(	39	0.10765992105007172	0.8923400640487671	0.981122612953186	0.0	HN
(╯°□°)	31	-0.08743920177221298	1.0874391794204712	0.9735812544822693	0.0	NB
(≧▽≦)	30	-0.030266253277659416	1.030266284942627	0.9749840497970581	0.0	NB
(￣∇￣)	30	-0.08012378960847855	1.080123782157898	0.9780793786048889	0.0	NB
(・̀‿・́)	22	0.04708154872059822	0.9529184699058533	0.9741086959838867	0.0	HN
(｡・́︿・̀｡)	22	-0.027350161224603653	1.0273501873016357	0.9731078743934631	0.0	HP
(ﾉ´・ω・`)	22	0.07640914618968964	0.9235908389091492	0.9833148717880249	0.0	HN
(◕‿◕)	18	-0.015809180215001106	1.015809178352356	0.9701739549636841	0.0	LP
(´・ω・`)	14	-0.033536676317453384	1.033536672592163	0.9769455194473267	0.0	NP
(￣ω￣;)	13	0.14981023967266083	0.850189745426178	0.9757620692253113	0.0	HN
(￣▽￣;)	13	0.0835341364145279	0.9164658784866333	0.9836702346801758	0.0	HN
(￣∇￣;)	13	-0.09701238572597504	1.0970124006271362	0.9746413826942444	0.0	NP
(￣﹏￣)	11	0.0952044203877449	0.9047955870628357	0.980945885181427	0.0	HN
(￣_￣)	11	-0.02360898070037365	1.023608922958374	0.982459545135498	0.0	HB
(￣︶￣)	10	-0.006395665928721428	1.006395697593689	0.9817862510681152	0.0	HP
(´・_・`)	9	0.12917377054691315	0.870826244354248	0.9743781685829163	0.0	LN
(⊙_⊙)	8	0.10030191391706467	0.8996980786323547	0.9804396033287048	0.0	HN
(✨)	8	-0.06923282146453857	1.0692328214645386	0.974164605140686	0.0	LP
(￣︿￣)	8	0.09492538869380951	0.9050745964050293	0.9758742451667786	0.0	HP
(￣￣)	8	0.12621702253818512	0.8737829923629761	0.9773744344711304	0.0	HN
(❤)	6	0.12746551632881165	0.8725345134735107	0.9830622673034668	0.0	LN
(￣_￣;)	5	0.10861919820308685	0.891380786895752	0.9825719594955444	0.0	HN
(ﾟｰﾟ)	5	0.11868266761302948	0.8813173174858093	0.9828451871871948	0.0	LN
(⊙◞⊙)	5	0.13062703609466553	0.8693729639053345	0.98640376329422	0.0	HN
