face	n_total	n_quadrants	quadrants	per_quadrant_n	classifier_acc	classifier_std	majority_acc	null_q95	separates	fig
(ﾉ◕ヮ◕)	553	9	HB,HN-D,HN-S,HP-D,HP-S,LN,LP,NB,NP	HB:66; HN-D:69; HN-S:50; HP-D:82; HP-S:106; LN:41; LP:33; NB:41; NP:65	0.9819656019656019	0.018889674650900152	0.19168173598553345	0.16998771498771498	True	
(◕‿◕✿)	138	8	HB,HN-S,HP-D,HP-S,LN,LP,NB,NP	HB:16; HN-S:11; HP-D:16; HP-S:5; LN:7; LP:34; NB:38; NP:11	0.9283068783068783	0.05032299581767051	0.2753623188405797	0.3162830687830687	True	
(￣▽￣)	131	7	HB,HP-D,HP-S,LN,LP,NB,NP	HB:19; HP-D:22; HP-S:13; LN:10; LP:18; NB:20; NP:29	0.947008547008547	0.037897092781872435	0.22137404580152673	0.2255128205128205	True	
(︿︿)	48	3	HN-D,HN-S,LN	HN-D:27; HN-S:6; LN:15	0.9177777777777777	0.07555555555555554	0.5625	0.6266666666666667	True	
:(	37	4	HB,HN-D,HN-S,LN	HB:4; HN-D:15; HN-S:11; LN:7	0.8083333333333333	0.09472996058322186	0.40540540540540543	0.49986111111111103	True	
(╯°□°)	28	6	HB,HP-D,HP-S,LP,NB,NP	HB:5; HP-D:3; HP-S:3; LP:4; NB:7; NP:6	0.5740740740740741	0.06928995160692482	0.25	0.34055555555555544	True	
(￣∇￣)	27	4	HP-D,LP,NB,NP	HP-D:4; LP:6; NB:11; NP:6	0.7023809523809523	0.10309826235529031	0.4074074074074074	0.4794642857142857	True	
(≧▽≦)	24	3	HB,LN,NB	HB:8; LN:5; NB:11	0.7500000000000001	0.14832396974191325	0.4583333333333333	0.5455	True	
(ﾉ´・ω・`)	21	2	HN-D,HN-S	HN-D:14; HN-S:7	0.67	0.10295630140987	0.6666666666666666	0.6974999999999999	False	
(◕‿◕)	18	3	LP,NB,NP	LP:11; NB:4; NP:3	0.611111111111111	0.0785674201318386	0.6111111111111112	0.611111111111111	False	
(｡・́︿・̀｡)	16	4	HP-S,LP,NB,NP	HP-S:3; LP:5; NB:5; NP:3	0.6111111111111112	0.17708197167232476	0.3125	0.40833333333333316	True	
(・̀‿・́)	12	3	HN-S,LP,NB	HN-S:5; LP:4; NB:3	0.6666666666666666	0.31180478223116176	0.4166666666666667	0.5458333333333332	True	
(￣ω￣;)	10	3	HB,HN-S,LN	HB:3; HN-S:4; LN:3	0.5833333333333334	0.1800205749557739	0.4	0.5305555555555553	True	
(´・ω・`)	9	2	LN,NP	LN:3; NP:6	0.6666666666666666	0.0	0.6666666666666666	0.6666666666666666	False	
(￣▽￣;)	8	2	HN-S,LN	HN-S:4; LN:4	0.75	0.25	0.5	0.75	False	
(￣﹏￣)	7	2	HB,HN-D	HB:4; HN-D:3	0.6666666666666666	0.23570226039551584	0.5714285714285714	0.5555555555555555	True	
