face	n_total	n_quadrants	quadrants	per_quadrant_n	classifier_acc	classifier_std	majority_acc	null_q95	separates	fig
(╯°□°)	108	5	HB,HN-D,HN-S,HP-D,HP-S	HB:18; HN-D:78; HN-S:6; HP-D:3; HP-S:3	0.9444444444444443	1.1102230246251565e-16	0.7222222222222222	0.7324074074074074	True	
(¬_¬)	94	4	HB,HN-D,HP-D,NB	HB:58; HN-D:9; HP-D:23; NB:4	0.9682971014492754	0.03469332971414051	0.6170212765957447	0.6335597826086956	True	
(´・ω・`)	68	6	HB,HN-S,LN,LP,NB,NP	HB:8; HN-S:6; LN:7; LP:20; NB:20; NP:7	0.9406593406593406	0.054103444505895264	0.29411764705882354	0.3783516483516482	True	
(≧‿≦)	64	5	HP-D,HP-S,LP,NB,NP	HP-D:8; HP-S:19; LP:18; NB:4; NP:15	0.953125	0.05182226234930312	0.296875	0.39921874999999996	True	
(¬‿¬)	53	3	HB,HP-D,NB	HB:10; HP-D:35; NB:8	0.9800000000000001	0.039999999999999994	0.660377358490566	0.68	True	
(≧▽≦)	49	4	HP-D,HP-S,LP,NP	HP-D:13; HP-S:14; LP:3; NP:19	0.9191176470588235	0.02599657283774073	0.3877551020408163	0.5010416666666665	True	
(ﾉ◕ヮ◕)	46	2	HP-S,NP	HP-S:39; NP:7	0.8711111111111111	0.07875575620741931	0.8478260869565217	0.8488888888888889	True	
(◕‿◕✿)	45	5	HP-D,HP-S,LP,NB,NP	HP-D:10; HP-S:5; LP:12; NB:8; NP:10	0.9555555555555555	0.054433105395181765	0.26666666666666666	0.3455555555555555	True	
(;ω;)	44	2	HN-S,LN	HN-S:7; LN:37	0.8666666666666668	0.0831479419283098	0.8409090909090909	0.8416666666666668	True	
(>_<)	43	4	HB,HN-D,HN-S,NP	HB:5; HN-D:3; HN-S:30; NP:5	0.8158730158730158	0.0583643692407944	0.6976744186046512	0.6984126984126985	True	
(;´д`)	41	4	HB,HN-D,HN-S,LN	HB:4; HN-D:4; HN-S:6; LN:27	0.7795454545454545	0.08464192931607309	0.6585365853658537	0.671590909090909	True	
(ﾉ>ω<)	38	2	HP-S,NP	HP-S:30; NP:8	0.8428571428571429	0.04711037842240328	0.7894736842105263	0.8198214285714286	True	
(˘³˘)	36	4	HP-D,LP,NB,NP	HP-D:6; LP:17; NB:9; NP:4	0.861111111111111	0.0921284663987611	0.4722222222222222	0.5	True	
(・_・;)	36	3	HB,HN-S,NB	HB:16; HN-S:8; NB:12	0.9714285714285715	0.05714285714285716	0.4444444444444444	0.5285714285714286	True	
(╥_╥)	33	4	HB,HN-D,HN-S,LN	HB:4; HN-D:18; HN-S:3; LN:8	0.8181818181818182	0.07422696190252052	0.5454545454545454	0.5924242424242423	True	
(╥﹏╥)	32	3	HB,HN-D,HN-S	HB:4; HN-D:19; HN-S:9	0.8125	0.0625	0.59375	0.65625	True	
(｡・́︿・̀｡)	27	2	HN-S,LN	HN-S:7; LN:20	0.7866666666666667	0.12220201853215575	0.7407407407407407	0.7466666666666667	True	
(⁄	24	4	HP-D,HP-S,LP,NP	HP-D:12; HP-S:3; LP:4; NP:5	0.6666666666666666	0.05892556509887896	0.5	0.5645833333333332	True	
(;′⌒`)	23	3	HN-D,HN-S,LN	HN-D:4; HN-S:14; LN:5	0.7	0.05773502691896261	0.6086956521739131	0.65	True	
(>﹏<)	16	2	HN-D,HN-S	HN-D:4; HN-S:12	0.75	0.0	0.75	0.75	False	
(´｡・‿・｡`)	13	2	LP,NP	LP:6; NP:7	0.8	0.26666666666666666	0.5384615384615384	0.6699999999999998	True	
(⊙_⊙;)	13	3	HB,HN-D,HN-S	HB:5; HN-D:3; HN-S:5	0.6	0.14142135623730953	0.38461538461538464	0.6166666666666667	False	
(;´༎ຶд༎ຶ`)	12	2	HN-S,LN	HN-S:5; LN:7	0.8333333333333333	0.21081851067789195	0.5833333333333334	0.6699999999999998	True	
(✿◠‿◠)	9	2	HP-D,LP	HP-D:3; LP:6	0.6666666666666666	0.0	0.6666666666666666	0.6666666666666666	False	
(◕‿◕�	8	2	HP-D,NP	HP-D:4; NP:4	0.875	0.21650635094610965	0.5	0.8187499999999996	True	
(｡♥‿♥｡)	8	2	LP,NP	LP:5; NP:3	0.611111111111111	0.0785674201318386	0.625	0.611111111111111	False	
